"Ign","Team","Multikills"
"EndU","Team GP",18
"Yacine","Guild Esports",18
"yoman","Next eSports (ex)",18
"pollo","Team Vikings (ex)",18
"bnj","9z Team (si)",18
"L1NK","Acend (ex)",18
"Rico","EVA:e (ex)",17
"Redgar","Gambit Esports (ex)",17
"keloqz","G2 Esports (Inactive) (ex)",17
"DDcream","Pentagon",17
"Amaterasu","Velocity Gaming",17
"NANZIN","Stars Horizon",17
"STYRON","Gaimin Gladiators (ex)",17
"JitboyS","FW Esports (ex)",17
"rite2ace","Velocity Gaming (ex)",17
"PEPA","Team Vikings (ex)",16
"DaeGi","Team GP (ex)",16
"H1BER","FNATIC (si)",16
"SoGaTe","Team GP (ex)",16
"Swee","IXA",16
"BabyJ","100 Thieves (ex)",16
"이토히로부비부빗","Team T5 (ex)",16
"Eugene","DAMWON Gaming",16
"marin","SCARZ (ex)",16
"Moose","Shopify Rebellion",16
"TenzouEz","DeToNator (ex)",16
"Apinya","FW Esports (ex)",16
"Anguuuuu","Storks Phalanx (ex)",15
"nAts","Gambit Esports (ex)",15
"C1nder","SCARZ (ex)",15
"Hermes","Brimstone (ex)",15
"MerRy","Storks Phalanx (ex)",15
"Kaminari","Hexad (ex)",15
"Yun","Pentagon",15
"something","Sengoku Gaming",15
"mada","Shopify Rebellion",15
"REV1","Pentagon",15
"Hate","Jadeite (ex)",15
"TORANECO","BLUE BEES.ESP (ex)",15
"mnz","IXA",15
"SID","VPZ",15
"K1llgrave","DeToNator (ex)",15
"hypathor","Oblivion Force",14
"LEXY","Bleed Esports (si)",14
"rez1v","Storks Phalanx",14
"柳ヶ瀬鈴乃","IXA (ex)",14
"B4nnba","Pentagon",14
"Akame","K2 eSports (ex)",14
"Ijin","Storks Phalanx (ex)",14
"Haodong","EDward Gaming",14
"AcMe","Veronica7",14
"FuriousMeow","Oblivion Force",14
"Kiuuuu","Oblivion Force",14
"arm1e","EVA:e (ex)",13
"invy","Oasis Gaming (ex)",13
"nobody","EDward Gaming",13
"Vici","Sengoku Gaming",13
"pdr","Stars Horizon (ex)",13
"CHICHOO","EDward Gaming",13
"Majestyy","FW Esports",13
"killua","FW Esports",13
"HellrangeR","Global Esports",13
"Killer0714","DetonatioN Gaming White",13
"Gunny","GoNGo Prince",12
"micr0","South Built Esports (ex)",12
"Veroneze","Team Vikings (ex)",12
"CHIMEI","Oblivion Force",12
"Rawkus","Sentinels (ex)",12
"Tempz","No Namers (ex)",12
"Wenty","Tartarus (si)",12
"Neal X","Insomnia (ex)",12
"ec1s","100 Thieves (ex)",11
"Danielesflo","FUSION (ex)",11
"Marmelo","Jadeite",11
"Darker","FUSION",11
"Kant","VPZ (ex)",11
"RHZ","Keyd Stars (si)",11
"Blas","NAOS Esports",11
"dazzLe","Shopify Rebellion",11
"TiGG","Shopify Rebellion (ex)",11
"Twinte","looking for a name (ex)",11
"DippER","VPZ (ex)",11
"Kei","looking for a name",11
"Alex","Next eSports (ex)",10
"Wild0reoo","Oasis Gaming",10
"coco","Oasis Gaming",10
"hatty","ややーず (ex)",10
"Smoggy","EDward Gaming",10
"RIA","ややーず (ex)",10
"KappA","Global Esports",10
"Xiaonuo","DeToNator",10
"BP","Veronica7",10
"Zerost","Sengoku Gaming",10
"Junseo","Next eSports",10
"Jan","Next eSports",10
"こころん","looking for a name",10
"SSeeS","DetonatioN Gaming White (ex)",10
"K1LLERS","Fancy United Esports (ex)",9
"Skyfull","DeToNator (ex)",9
"HellFull","FUSION (ex)",9
"Purp0","Acend (si)",9
"cuda","GyoGun (ex)",9
"DxN","No Namers (ex)",9
"M4sh","EVA:e (ex)",9
"Lumo","Insomnia (ex)",9
"B1ngSu","Veronica7",9
"Biju","IXA (ex)",8
"EROC","EVA:e (ex)",8
"GLAB zey","NAOS Esports (ex)",8
"Solution","FUSION (ex)",8
"skyeSG","No Namers (ex)",8
"Life","EDward Gaming (ex)",8
"FifTy","DeToNator",8
"Wonjina","Next eSports",8
"Marky","Oasis Gaming",7
"MqsaaV","Mariner",7
"Paint","Insomnia (ex)",7
"ParkJJong","Tartarus (si)",7
"kobra","REJECT (si)",7
"Learica","TRIDENT (ex)",7
"AlKawai","Insomnia (ex)",7
"PADO","Veronica7 (ex)",7
"Defectio","ややーず (ex)",7
"Poach","FaZe Clan (ex)",6
"SoGaTe","Tartarus (si)",6
"Meimoo","Rebellion Arts",6
"reooooo","Rebellion Arts",6
"Lore","Focus e-Sports (ex)",6
"xeta","Cloud9 (si)",6
"MuuShock","Rebellion Arts",6
"侵略者","ややーず",6
"Valll","Focus e-Sports (ex)",6
"shura","Focus e-Sports",6
"Leazo","9z Team",6
"Haxball","VPZ",6
"Muj","BBL Esports (ex)",6
"Dani","Sentinels (si)",6
"Creative","GoNGo Prince",6
"kobra","Crest Gaming ZST",6
"AzeL","looking for a name (ex)",5
"munghoon","VPZ",5
"sakurai","Crest Gaming ZST (ex)",5
"AztKk","FUSION (ex)",5
"Ripper","Oasis Gaming",5
"Reita","Crest Gaming ZST (si)",5
"JREXXX","Insomnia (ex)",5
"Ran","SETOUCHI ENLIFE (ex)",5
"pippi","Rebellion Arts",5
"pouoxo","TRIDENT (ex)",5
"Yso","TRIDENT (ex)",5
"UmiNtyU","Mariner",5
"TAMAGO","AWS (ex)",5
"2KY","SchwarzerLand",5
"Puupop","Mariner",4
"Melofovia","DetonatioN Gaming White (ex)",4
"H1K","SchwarzerLand",4
"SyouTa","REJECT (si)",4
"wait","KRÜ Esports (ex)",4
"DaeGi","Tartarus (si)",4
"oikou","GyoGun (ex)",4
"Num","AWS (ex)",4
"kurtesy","Oasis Gaming",4
"Suda","SETOUCHI ENLIFE (ex)",4
"Lily","EVA:e",4
"takej","Crest Gaming ZST (si)",4
"KadosuK","GyoGun (ex)",4
"moco","TRIDENT (ex)",4
"sakurai","REJECT (si)",4
"Machao","DetonatioN Gaming White (ex)",4
"KimGyuTae","Desperado (si)",3
"Namikaze","SETOUCHI ENLIFE (ex)",3
"Flash","Rex Regum Qeon",3
"Ask","Reignite",3
"NeruFi","REJECT (si)",3
"Haner","K2 eSports (ex)",3
"Maru","Mariner",3
"Ludens","K2 eSports (ex)",3
"Citrus7","SchwarzerLand",3
"zepher","Crest Gaming ZST (si)",3
"Anna","Next eSports (ex)",3
"Zan","Focus e-Sports",3
"Sacchi","SchwarzerLand",3
"Purp0","M3 Champions (ex)",3
"GwangUh","Tartarus (si)",3
"sickLy","FUSION",3
"NoriseN","Crest Gaming ZST (si)",3
"SamuraiDeeper","REJECT (si)",3
"ZONBee","GyoGun",2
"Myself","AWS",2
"Shiroe","Mariner",2
"Nikumanyaro","SYSTEM e-Sports (ex)",2
"silver","K2 eSports (ex)",2
"RELAXING","TRIDENT (ex)",2
"sachi","Rebellion Arts (ex)",2
"KAMEReon","AWS (ex)",2
"Medusa","Crest Gaming ZST (si)",2
"Gabriel","AWS",2
"Toto","GyoGun",2
"YAYA","ややーず",2
"大西大和","SETOUCHI ENLIFE (ex)",2
"wait","KRÜ Esports (si)",2
"hiyokomaru","SYSTEM e-Sports",1
