"Ign","Team","Defusals"
"Muj","BBL Esports (ex)","2"
"Suka","Fancy United Esports (ex)","2"
"Brofeld","Hexad (ex)","2"
"TORANECO","BLUE BEES.ESP (ex)","2"
"hsk","DetonatioN Gaming White","2"
"ec1s","100 Thieves (ex)","2"
"Delend","Made in Thailand (ex)","2"
"Amaterasu","Velocity Gaming","2"
"DEATHMAKER","Velocity Gaming","2"
"Gunny","GoNGo Prince","2"
"GLAB zey","NAOS Esports (ex)","2"
"LEXY","Bleed Esports (si)","2"
"Alex","Next eSports (ex)","2"
"YaBoiLewis","FOKUS","2"
"Nizzy","Fancy United Esports","2"
"dazzLe","Shopify Rebellion","2"
"redwater877","Team T5","2"
"Kakarot","NAOS Esports","2"
"Subroza","TSM (ex)","2"
"NANZIN","Stars Horizon","2"
"kvzx","NAOS Esports","2"
"Ran","SETOUCHI ENLIFE (ex)","2"
"invy","Oasis Gaming (ex)","2"
"Veroneze","Team Vikings (ex)","2"
"kurozooted","Reignite","2"
"K1llgrave","DeToNator (ex)","2"
"skyeSG","No Namers (ex)","2"
"Jemkin","Crest Gaming ZST (ex)","2"
"Knight","Pentagon","2"
"tixx","Bonkers(OCE) (ex)","2"
"Foxy9","Reignite (ex)","2"
"shura","Focus e-Sports","2"
"Akame","K2 eSports (ex)","2"
"iNTRO","DAMWON Gaming (ex)","2"
"FifTy","DeToNator","2"
"mada","Shopify Rebellion","2"
"Majestyy","FW Esports","2"
"JitboyS","FW Esports (ex)","2"
"skrawl","Bonkers(OCE) (ex)","2"
"CHICHOO","EDward Gaming","2"
"Jady","Natus Vincere (ex)","2"
"AzeL","looking for a name (ex)","2"
"GangPin","Sengoku Gaming (ex)","2"
"Xiaonuo","DeToNator","2"
"Paint","Insomnia (ex)","2"
"Hermes","Brimstone (ex)","2"
"gMd","TSM (ex)","2"
"shroud","Sentinels","2"
"SEIDER","FunPlus Phoenix (si)","2"
"rite2ace","Velocity Gaming (ex)","2"
"arm1e","EVA:e (ex)","2"
"feqew","LDN UTD (ex)","2"
"KimGyuTae","Desperado","2"
"jEEE","NAOS Esports","2"
"H1BER","FNATIC (si)","2"
"Harry","Brimstone (si)","2"
"DippER","VPZ (ex)","2"
"Yun","Pentagon","2"
"Wonjina","Next eSports","2"
"Eliza","GoNGo Prince (ex)","2"
"musashi","BIG (ex)","2"
"FuriousMeow","Oblivion Force","2"
"ParkJJong","Tartarus (si)","2"
"ban","Knights (ex)","2"
"kiles","Acend (ex)","2"
"Daicute","CERBERUS Esports (ex)","2"
"Yso","TRIDENT (ex)","2"
"fenNy","SunXet Club","2"
"PEPA","Team Vikings (ex)","1"
"Jan","Next eSports","1"
"Skyfull","DeToNator (ex)","1"
"STYRON","Gaimin Gladiators (ex)","1"
"Solution","FUSION (ex)","1"
"HellFull","FUSION (ex)","1"
"Anguuuuu","Storks Phalanx (ex)","1"
"alyaL","CERBERUS Esports (ex)","1"
"Poach","FaZe Clan (ex)","1"
"Lily","EVA:e","1"
"Halbae","World Game Star (ex)","1"
"AztKk","FUSION (ex)","1"
"SSeeS","DetonatioN Gaming White (ex)","1"
"DxN","No Namers (ex)","1"
"THEE","FULL SENSE","1"
"zepher","Crest Gaming ZST (si)","1"
"Gabriel","AWS","1"
"TAMAGO","AWS (ex)","1"
"AlKawai","Insomnia (ex)","1"
"moco","TRIDENT (ex)","1"
"K1LLERS","Fancy United Esports (ex)","1"
"Learica","TRIDENT (ex)","1"
"NicoMachine","Meta Gaming (ex)","1"
"Nozz","Bonkers(OCE) (ex)","1"
"BP","Veronica7","1"
"Den2","Spear Gaming (ex)","1"
"SamuraiDeeper","REJECT (si)","1"
"Wenty","GoNGo Prince (ex)","1"
"Nexi","Rex Regum Qeon (ex)","1"
"Apinya","FW Esports (ex)","1"
"pouoxo","TRIDENT (ex)","1"
