"Player Id","Ign","Team"
29038,"50kgridshot","club penguin"
2080,"56ismysize","winnable"
27031,"56ismysize","sainuahualouis"
13298,"5am","Matcha Monkeys 5"
22276,"5AM","Lucky Cat Gaming"
32343,"5DF Baron","5 Dollar Fillup"
32344,"5DF Teh","5 Dollar Fillup"
21977,"5eratnax",""
15632,"5exe","Defect"
30498,"5G nAgi","5 GOATS"
30500,"5G Nano","5 GOATS"
31040,"5K Banh mi","5K Onyx"
24608,"5kiiin","Comet Esports Club"
30322,"5K Korn","5K Amethyst"
28738,"5K mars","5K Amethyst"
31039,"5K meli","5K Onyx"
28740,"5K ness","5K Amethyst"
31553,"5ku","Koalanoob Fan Club"
22732,"5 M","Looking for Organize"
19463,"5Pace","Aerous"
25763,"606",""
20505,"60hz","GHOSTs"
12685,"60Hz player",""
27000,"627","SINchronizers"
27167,"637petr","Cyber Wolves Light"
13081,"639",""
27791,"66","Urban Beauties"
2548,"665Sam","Akila Esports"
8571,"666","Odyssey"
14728,"666",""
3432,"666SSJ","Millions Gaming"
11030,"666z",""
18170,"69Hz",""
21440,"69jesi","KABAHbl"
18027,"69Shinobu","GameBucksAeon"
3087,"6AlphaCross9","Death Dose"
15971,"6aspao",""
31588,"6dre",""
21998,"6fingers","FISHER ESPORTS"
30770,"6F June","Six Figures"
30769,"6F Kohaku","Six Figures"
30767,"6F Lazyhands","Six Figures"
30766,"6F Ruwaa","Six Figures"
8096,"6ftdeep","Le Crapaud"
30768,"6F Vash","Six Figures"
21673,"6ix","Sinetic E-Sports"
860,"6ix",""
21621,"6ixtos",""
19602,"6ixxer","CSUF Blue"
32950,"6K Asia","Six Karma Feminil"
3953,"6pack",""
10266,"6sonya","Alliance Coven"
12235,"6thInvasion (deleted)",""
28694,"6ThKing","Team Circus"
31220,"6xth","Wet Noodles"
30212,"702","XERXIA Esports"
28375,"727 erk","WHEN YOU SEE IT"
6300,"730","MZ team esports"
8534,"777","THE KILTROZ"
20084,"79signerT","Esports Team Twente"
12639,"7ABAK","Team Z Esports"
21836,"7assasin","AyamJago"
26532,"7 cee","Unit 7"
32662,"7even","Los Nenes"
14903,"7êvên","I don^t know"
27809,"7kk","Normal Player Gaming"
31042,"7koz","Unpopular"
25844,"7ma","The Spark Esports"
20213,"7Mackan","Team Wyvern"
15854,"7MineSUPER",""
31773,"7nqse","Graces Blaze Xross"
10148,"7ommyoh","YMCMB"
2440,"7PrOs",""
8919,"7radmiR","Meduzza Gaming"
24619,"7REY","5 SAHABAT"
15027,"7sec","TR4KLE keys"
16807,"7sete (deleted)",""
8846,"7SICK","5op"
18621,"7S Okeanos","7 States S Female"
999,"7ssk7","Istanbul Wildcats"
21968,"840nty","Sexy Thanos"
21962,"88Drawng",""
16935,"8BQ","Phoenix (HK)"
9904,"8hs",""
8753,"8lax","KANAFI"
24936,"8lua","Ghetto Artist"
9315,"8nFiniTy","Novus Esports"
5000,"8nFiniTλ",""
29850,"8randan","Brock University"
12059,"909duckwizard","Krampus"
16009,"90Gnust",""
22525,"90Shooters","Orion Genesis eSports"
30995,"90s Sad","90 Seconds"
30996,"90s So Secsi","90 Seconds"
21680,"911",""
13826,"911wasCTsided","TEAM KICK IT"
21326,"942","Social League"
29807,"959yKano","KPG"
29486,"96magic","SETOUCHI SPARKS"
6703,"972","Noble Experience"
1793,"98","Fast Rush"
19662,"9999",""
10503,"999ara","eSports Cologne"
14920,"999kvmil","B8 Esports"
263,"99kamilhuj","32132123"
24005,"9er","Carleton Ravens"
33011,"9hr","FunPlus Phoenix"
18680,"9ianny","Maycam Evolve Fem"
16749,"9Iron","Team Intelligence"
31806,"9Lair","CERULEAN.EXE"
19246,"9ondoss","Krakens Esports"
6706,"9room",""
16672,"9rwsquadawper","Depth Esports"
4692,"9sBoy#AAA",""
4689,"9sBoy#AAAA",""
1027,"9th","Z11"
23373,"9Tribez","Attacking Soul Esports"
8773,"A1","969 gang"
25167,"A1","NEVIS"
663,"a11ex",""
22130,"A1D","S4-GE"
31394,"A1dan",""
22613,"a1dz","The Chads"
19686,"A1ex","Victory (VN)"
7330,"a1fie","Washed"
26510,"A1mly","NASR Esports"
15128,"a1ms0nz","washedfortniteboomers"
7519,"a1mstar","HEET Infernos"
8848,"A1oe","5op"
11617,"a1s","Kingsmen V"
2655,"A1tmaN","ShikouKouketsu"
920,"A1V","Bunkergg"
27029,"a2guapo","Team a2guapo"
25036,"A4","Nova Whale"
28567,"A5TØ","Havik Esports"
4292,"A77","Winthrop University"
32182,"A7 amraK","Asteri 7"
22596,"A7 jay","Asteri 7"
23113,"AAAAY","FunPlus Phoenix"
8138,"aaarezmd","Pivetada"
32170,"AAA zeno","Aim Assist Allstars"
4092,"AAK","Royal Never Give Up"
28604,"aaliyah","GwoppyAndTheGwoppettes"
7955,"Aang","Marlian eSports"
17027,"Aanszo","Avium Esports"
15952,"aaraN",""
27129,"aarea51","REVIVAL GC"
9530,"Aarin",""
13268,"aaron","Ivy (NA)"
31443,"Aaron","Sussy Players"
15969,"Aaroniero",""
27698,"aaroNNN","Project 5"
31581,"Aaronnn","Coconut Munchers"
27948,"aaronthaofan69","Ara Ara"
1110,"AaroNuk","GGmate"
30208,"aaryan","Stony Brook Red"
20532,"aawox","90s"
24388,"AB",""
24389,"A B",""
27757,"AB270","Silver Dragons"
6059,"abA","Amigos do fumas"
18781,"ABabyKiwi","ANV Frost"
8214,"abaddon","locos de lança"
3323,"Abaddon","Mineros FC Esports"
1342,"Aba (deleted)","Akademus Esport"
31590,"Abadoo","5K Esports"
5038,"Abadzer0","Golden Gallos"
23834,"Aband","Tempest Gaming"
10499,"Abao","Victory Formula"
20129,"abassy","Digitroni Esports"
2411,"ABATMAN","Vipers Clan"
33037,"Abbas1x","Guardian Esports"
31170,"Abbe","Furious Eagles"
25777,"abbie2k","Tasty Waffles"
12454,"ABC M4",""
11,"Abdulmalek","run it down mid"
16006,"AbduR","Team Snakes"
661,"abE","Triangle Offense"
28263,"Abe","Fusion Academy"
27973,"Abee","unaffiliated"
6421,"abeL","BHOP Rose"
20666,"Abel","Erro VAL7"
6658,"Abilities","lvl 10"
19573,"AblaZePG","Nocturnal Gaming"
18192,"ableJ",""
26786,"Able Tats","Able Sisters"
4071,"Abo","EDward Gaming"
13079,"AboBba",""
14711,"Abomization","Luccini Gaming"
3374,"Abongcs","Bing Chilling"
20838,"above","USC Cardinal"
26286,"abrahao","New GeneratioN"
13284,"Abram","Team Major Academy"
13709,"Abrex","OLD Puggers"
14656,"abrhmm","Tr4sh Esports"
27645,"abrikoska","GOLDED 3"
32962,"AbruX","EBRO FEM"
12142,"Abrvxas","Slaughter House"
29175,"absalon","Team X (OCE)"
8100,"Absent",""
24901,"Absidi","VOX One"
22491,"ABSINTH FAIRY",""
31845,"Absol","DetoNator Academy"
5247,"Absolut","Nekoma Esports"
566,"Absolute","Running Dogs"
31405,"AbsoluteYoinker","Hot Dog Esports"
19726,"abstract","Canine 9"
24417,"Abstrxct","101 Percent"
32186,"Absxlvte","Imposters"
9995,"ABTAGALLON","Cereal Before Milk"
2032,"abu","Team Hydro"
26579,"Abuelo","RedPack eSports"
5152,"Abuquintero","Dark Galaxy"
7370,"AbussoS","Rave Party"
5025,"AbyNitro","Wölfe Esports"
6148,"abyss","StrigiManse"
24973,"Abyss","Realism Esports Black"
20218,"Abyssal","XYZ"
1732,"Abysss",""
7231,"abyzz","Coliseo Xibalbá Esports"
21604,"ABZ DRT","Ablaze E-Sport"
17527,"AC","NTER"
11883,"Ac3trix","chord"
22030,"acabz","FRATERN1TY"
19897,"Acaciaz","Team EVO"
17294,"acApp","UwU"
33274,"acc","DRG Esports Club"
1499,"ACCEL","Team Rocket (KR)"
4106,"AccHr","O2 Gaming"
21064,"Accio","DD Detectors"
21063,"Accio (deleted)",""
31376,"Accite","LUNATIC"
22314,"Ace","Team Phenix"
847,"Ace",""
1524,"Ace","AkaLion"
