"Ign","Team","Damage"
"kurozooted","Reignite","24951"
"Nexi","Rex Regum Qeon (ex)","24826"
"SyouTa","Crest Gaming ZST (ex)","24639"
"GwangUh","Tartarus (ex)","24547"
"prozin","Sharks Esports","24450"
"Unnsto","EBRO Gaming (ex)","24312"
"olzerr","PAMPAS (ex)","24259"
"something","BLUE BEES.ESP (ex)","24148"
"artzin","Stars Horizon (ex)","24078"
"Pro","South Built Esports (ex)","23984"
"glym","Liberty (ex)","23842"
"pdr","INGAMING Esports (ex)","23700"
"jcStani","100 Thieves (ex)","23517"
"CLZ","FENNEL","23482"
"shelbyN","EBRO Gaming (ex)","23341"
"SamuraiDeeper","Crest Gaming ZST (ex)","23073"
"flainzz","INGAMING Esports (ex)","22875"
"Redneval","CERBERUS Esports (ex)","22814"
"HaReeee","REJECT (ex)","22787"
"Addicted","Sharks Esports (ex)","22770"
"UdoTan","GoNGo Prince (ex)","22690"
"SEIDER","FunPlus Phoenix (si)","22651"
"Peloncito","E-Xolos LAZER","22500"
"mittiii","FENNEL (ex)","22356"
"kellyS","Rex Regum Qeon (ex)","22355"
"shroud","Sentinels","22218"
"Minimise","Bonkers(OCE) (ex)","22036"
"swag","Team Vikings (ex)","21892"
"JinboongE","Brimstone (ex)","21802"
"Jemkin","BLUE BEES.ESP (ex)","21740"
"skrawl","Bonkers(OCE) (ex)","21704"
"v1xen","Ninjas in Pyjamas (si)","21702"
"WKN","Meta Gaming (ex)","21679"
"Chronicle","Gambit Esports (ex)","21514"
"kobra","Sengoku Gaming (ex)","21433"
"Art","Sengoku Gaming (ex)","21410"
"hyouka","Reignite","21236"
"rDeeW","Bonkers(OCE) (ex)","21056"
"Wenty","GoNGo Prince (ex)","21048"
"Lawrence","GoNGo Prince","20904"
"NeruFi","Crest Gaming ZST","20824"
"Akame","Jadeite","20823"
"10X","Brimstone (si)","20803"
"Misaya","Sengoku Gaming","20649"
"Dobsha","E-Xolos LAZER (ex)","20636"
"Daicute","CERBERUS Esports (ex)","20555"
"iNTRO","DAMWON Gaming (ex)","20383"
"Brofeld","Jadeite","20171"
"Eliza","GoNGo Prince (ex)","19820"
"Felix","Brimstone (si)","19786"
"Maverick","Stars Horizon (ex)","19741"
"Tuli","9z Team (si)","19615"
"KuuKai","Crest Gaming ZST (ex)","19550"
"thiefy","Sengoku Gaming (ex)","19315"
"Harry","Brimstone (si)","19204"
"Estrella","Desperado (ex)","19145"
"2GE","Rex Regum Qeon","18879"
"Lightningfast","Global Esports","18876"
"PEPA","Team Vikings (ex)","18586"
"Nizzy","Fancy United Esports","18544"
"DEATHMAKER","Velocity Gaming","18424"
"Zerost","BLUE BEES.ESP (ex)","18408"
"Envy","FENNEL (ex)","18386"
"Derialy","FENNEL (ex)","18332"
"Draxii","Rex Regum Qeon (ex)","18225"
"pollo","Team Vikings (ex)","18139"
"bnj","9z Team (si)","17925"
"EndU","Team GP","17786"
"tinggg2k5","CERBERUS Esports","17769"
"Anthem","SCARZ (ex)","17671"
"sakurai","Hexad (ex)","17538"
"flainzz","Stars Horizon","17500"
"sheydos","Gambit Esports (ex)","17466"
"Suka","Fancy United Esports (ex)","17433"
"rite2ace","Velocity Gaming (ex)","17430"
"ringring","CNJ Esports","17388"
"Dualing","Storks Phalanx (ex)","17376"
"Dszera","Team Vikings (ex)","17297"
"blurred","NAOS Esports","17201"
"Rabbet","Rex Regum Qeon","17183"
"FREY","Gaimin Gladiators (ex)","17035"
"Vera","No Namers (ex)","17006"
"alyaL","CERBERUS Esports (ex)","17003"
"Vibhor","Velocity Gaming (ex)","16999"
"Brofeld","Hexad (ex)","16982"
"TENSAI","FENNEL (ex)","16942"
"hellff","Velocity Gaming","16937"
"bdog","Shopify Rebellion","16682"
"TORANECO","BLUE BEES.ESP (ex)","16625"
"GOLD","Desperado (si)","16534"
"GodDead","On Sla2ers (si)","16523"
"GangPin","Sengoku Gaming (ex)","16486"
"Yacine","Guild Esports","16335"
"Bazzi","On Sla2ers (si)","16334"
"Redgar","Gambit Esports (ex)","16305"
"SkRossi","Global Esports","16272"
"Halbae","World Game Star (ex)","16222"
"ZmjjKK","EDward Gaming","16136"
"NANZIN","Stars Horizon","16126"
"TORANECO","Hexad (ex)","16086"
"SungJin","CNJ Esports (ex)","15996"
"Veroneze","Team Vikings (ex)","15943"
"Den2","Spear Gaming (ex)","15920"
"Kakarot","NAOS Esports","15904"
"kvzx","NAOS Esports","15878"
"Knight","Pentagon","15682"
"skillZ","Global Esports","15539"
"Hermes","Brimstone (ex)","15506"
"dzii","Gaimin Gladiators (ex)","15407"
"Luna","IXA","15388"
"pdr","Stars Horizon (ex)","15360"
"Dhimorutoo","Reignite (ex)","15239"
"L1NK","Acend (ex)","15136"
"d3ffo","Gambit Esports (ex)","15030"
"jEEE","NAOS Esports","15020"
"Flax","Hexad (ex)","14969"
"RgLMeister","Keyd Stars (si)","14960"
"Moose","Shopify Rebellion","14828"
"Amaterasu","Velocity Gaming","14689"
"DDcream","Pentagon","14666"
"Pooky","CNJ Esports (ex)","14654"
"JitboyS","FW Esports (ex)","14643"
"k1Ng","On Sla2ers (si)","14622"
"Teerapong","FW Esports","14544"
"TS","On Sla2ers (si)","14542"
"ryota-","SCARZ (ex)","14523"
"Pay","Veronica7 (ex)","14513"
"Apinya","FW Esports (ex)","14412"
"zunba","On Sla2ers (si)","14368"
"C1nder","SCARZ (ex)","14360"
"ParkJJong","Team GP (ex)","14280"
"Suggest","DetonatioN Gaming White (ex)","14270"
"marin","SCARZ (ex)","14206"
"STYRON","Gaimin Gladiators (ex)","14102"
"NoMan","Oblivion Force (ex)","14018"
"nephh","Gaimin Gladiators (ex)","13936"
"Sk9Na","Team GP (ex)","13930"
"keloqz","G2 Esports (Inactive) (ex)","13904"
"Shun","No Namers (ex)","13867"
"REV1","Pentagon","13434"
"mada","Shopify Rebellion","13337"
"DaeGi","Team GP (ex)","13266"
"Shuzz","SCARZ (ex)","13241"
"hsk","DetonatioN Gaming White","13225"
"H1BER","FNATIC (si)","13097"
"이토히로부비부빗","Team T5 (ex)","13077"
"CHICHOO","EDward Gaming","13075"
"Hate","Jadeite (ex)","12998"
"Kaminari","Hexad (ex)","12960"
"mnz","IXA","12775"
"Eugene","DAMWON Gaming","12765"
"Kiuuuu","Oblivion Force","12733"
"SoGaTe","Team GP (ex)","12663"
"Swee","IXA","12653"
"SeolHo","Spear Gaming (ex)","12625"
"dazzLe","Shopify Rebellion","12612"
"killua","FW Esports","12488"
"artn","Gaimin Gladiators (ex)","12465"
"Haodong","EDward Gaming","12459"
"Gunny","GoNGo Prince","12357"
"rez1v","Storks Phalanx","12289"
"Ijin","Storks Phalanx (ex)","12136"
"TiGG","Shopify Rebellion (ex)","11978"
"BabyJ","100 Thieves (ex)","11971"
"Rawkus","Sentinels (ex)","11957"
"Anguuuuu","Storks Phalanx (ex)","11894"
"B4nnba","Pentagon","11876"
"柳ヶ瀬鈴乃","IXA (ex)","11871"
"ClarK","World Game Star (ex)","11791"
"nobody","EDward Gaming","11732"
"MerRy","Storks Phalanx (ex)","11695"
"RHZ","Keyd Stars (si)","11694"
"BP","Veronica7","11646"
"Rico","EVA:e (ex)","11595"
"Tempz","No Namers (ex)","11394"
"Yun","Pentagon","11233"
"Kant","VPZ (ex)","11213"
"Has1ra14","Maru Gaming (ex)","11174"
"something","Sengoku Gaming","11173"
"KappA","Global Esports","11107"
"nAts","Gambit Esports (ex)","11029"
"Darker","FUSION","11027"
"yoman","Next eSports (ex)","10849"
"Biju","IXA (ex)","10774"
"TenzouEz","DeToNator (ex)","10660"
"K1llgrave","DeToNator (ex)","10487"
"CHIMEI","Oblivion Force","10421"
"Majestyy","FW Esports","10336"
"Killer0714","DetonatioN Gaming White","10246"
"B1ngSu","Veronica7","10201"
"ec1s","100 Thieves (ex)","10177"
"SID","VPZ","9960"
"AcMe","Veronica7","9960"
"micr0","South Built Esports (ex)","9888"
"Alex","Next eSports (ex)","9775"
"PADO","Veronica7 (ex)","9765"
"FuriousMeow","Oblivion Force","9712"
"DxN","No Namers (ex)","9682"
"coco","Oasis Gaming","9655"
"Zerost","Sengoku Gaming","9587"
"hypathor","Oblivion Force","9529"
"skyeSG","No Namers (ex)","9517"
"K1LLERS","Fancy United Esports (ex)","9344"
"Vici","Sengoku Gaming","9254"
"M4sh","EVA:e (ex)","9200"
"Smoggy","EDward Gaming","9099"
"HellrangeR","Global Esports","9017"
