"Ign","Team","Agent","Picks","Matches","Percentage"
"GLAB zey","NAOS Esports (ex)","Chamber",2,2,"100.00"
"glym","Liberty (ex)","Sage",2,9,"22.22"
"glym","Liberty (ex)","Omen",2,9,"22.22"
"glym","Liberty (ex)","Jett",2,9,"22.22"
"gMd","TSM (ex)","Fade",2,10,"20.00"
"GodDead","On Sla2ers (si)","Breach",2,6,"33.33"
"GodDead","On Sla2ers (si)","Jett",2,6,"33.33"
"GOLD","Desperado (ex)","Viper",2,15,"13.33"
"gtnziN","MIBR (ex)","Breach",2,17,"11.76"
"Gunny","GoNGo Prince","Sova",2,5,"40.00"
"Gunny","GoNGo Prince","Skye",2,5,"40.00"
"H1BER","FNATIC (si)","Raze",2,4,"50.00"
"Halbae","World Game Star (ex)","Killjoy",2,5,"40.00"
"Halbae","World Game Star (ex)","Chamber",2,5,"40.00"
"Haner","K2 eSports (ex)","Sova",2,2,"100.00"
"Haodong","EDward Gaming","Breach",2,5,"40.00"
"HaReeee","REJECT (ex)","KAY/O",2,10,"20.00"
"HaReeee","REJECT (ex)","Chamber",2,10,"20.00"
"Harry","Brimstone (si)","Viper",2,7,"28.57"
"Harry","HolyMolly","Cypher",2,26,"7.69"
"Has1ra14","CNJ Esports","Breach",2,18,"11.11"
"Has1ra14","Maru Gaming (ex)","Sage",2,4,"50.00"
"Hate","Jadeite (ex)","Killjoy",2,4,"50.00"
"Hate","Jadeite (ex)","Chamber",2,4,"50.00"
"hellff","Velocity Gaming","Chamber",2,6,"33.33"
"HellFull","FUSION (ex)","Viper",2,4,"50.00"
"HellFull","FUSION (ex)","Chamber",2,4,"50.00"
"Hermes","HolyMolly (ex)","Sage",2,26,"7.69"
"Hermes","HolyMolly (ex)","Neon",2,26,"7.69"
"Hoody","G2 Esports (Inactive) (ex)","Jett",2,57,"3.51"
"hyouka","Reignite","Breach",2,10,"20.00"
"Hyzee","Fancy United Esports (ex)","Breach",2,17,"11.76"
"Hyzee","Fancy United Esports (ex)","Sova",2,17,"11.76"
"Ijin","Storks Phalanx (ex)","Raze",2,4,"50.00"
"iluri","FOKUS (ex)","Brimstone",2,12,"16.67"
"iNTRO","DAMWON Gaming (ex)","Killjoy",2,8,"25.00"
"invy","Oasis Gaming (ex)","KAY/O",2,4,"50.00"
"Jady","M3 Champions","Viper",2,12,"16.67"
"Jan","Next eSports","Astra",2,3,"66.67"
"jawgemo","Evil Geniuses","Skye",2,35,"5.71"
"jcStani","100 Thieves (ex)","Chamber",2,8,"25.00"
"jEEE","NAOS Esports","Omen",2,6,"33.33"
"Jeong Hi","DAMWON Gaming (ex)","Viper",2,27,"7.41"
"JessieVash","Team Secret","Breach",2,27,"7.41"
"jfoen","E-Xolos LAZER","Omen",2,16,"12.50"
"JhoW","Keyd Stars (ex)","Viper",2,25,"8.00"
"JinboongE","Brimstone (ex)","Skye",2,7,"28.57"
"JinboongE","HolyMolly (ex)","Sage",2,26,"7.69"
"JinboongE","HolyMolly (ex)","Jett",2,26,"7.69"
"Jinggg","Paper Rex","KAY/O",2,61,"3.28"
"JitboyS","FW Esports (ex)","Killjoy",2,5,"40.00"
"JitboyS","FW Esports (ex)","Chamber",2,5,"40.00"
"JonahP","The Guard","Jett",2,55,"3.64"
"JREXXX","Insomnia (ex)","Chamber",2,3,"66.67"
"Junseo","Next eSports","Breach",2,3,"66.67"
"jzz","MIBR","Jett",2,17,"11.76"
"K1LLERS","Fancy United Esports (ex)","Jett",2,4,"50.00"
"K1llgrave","DeToNator (ex)","Sova",2,3,"66.67"
"k1Ng","On Sla2ers (si)","Killjoy",2,6,"33.33"
"k1Ng","On Sla2ers (si)","Viper",2,6,"33.33"
"KadosuK","GyoGun (ex)","Reyna",2,2,"100.00"
"Kakarot","NAOS Esports","KAY/O",2,6,"33.33"
"KAMEReon","AWS (ex)","Cypher",2,2,"100.00"
"Kaminari","Hexad (ex)","Sage",2,6,"33.33"
"Kanpeki","Sentinels (ex)","Skye",2,11,"18.18"
"kellyS","Rex Regum Qeon (ex)","Jett",2,8,"25.00"
"keznit","KRÜ Esports (ex)","Chamber",2,70,"2.86"
"Khalil","FURIA","Cypher",2,49,"4.08"
"Khalil","FURIA","Reyna",2,49,"4.08"
"kiles","Acend (ex)","Viper",2,13,"15.38"
"killua","FW Esports","Jett",2,5,"40.00"
"Kiuuuu","Oblivion Force","Killjoy",2,4,"50.00"
"Kiuuuu","Oblivion Force","Viper",2,4,"50.00"
"Knight","Pentagon","KAY/O",2,5,"40.00"
"kon4n","TBK Esports (ex)","KAY/O",2,38,"5.26"
"Kr1stal","BLUE BEES.ESP (ex)","Breach",2,13,"15.38"
"Kr1stal","BLUE BEES.ESP (ex)","Skye",2,13,"15.38"
"Kr1stal","BLUE BEES.ESP (ex)","KAY/O",2,13,"15.38"
"krain","Liberty","Viper",2,20,"10.00"
"kurozooted","Reignite","Killjoy",2,10,"20.00"
"kurtesy","Oasis Gaming","Sova",2,2,"100.00"
"L1NK","Acend (ex)","Omen",2,6,"33.33"
"Laz","ZETA DIVISION","KAY/O",2,63,"3.17"
"leaf","Cloud9","Viper",2,47,"4.26"
"Learica","TRIDENT (ex)","Raze",2,2,"100.00"
"Leazo","9z Team","Omen",2,2,"100.00"
"lenne","Bleed Esports (ex)","Skye",2,37,"5.41"
"Leo","Guild Esports (ex)","Viper",2,54,"3.70"
"Leo","Guild Esports (ex)","Sage",2,54,"3.70"
"Leo","Guild Esports (ex)","KAY/O",2,54,"3.70"
"LEXY","Bleed Esports (ex)","Sage",2,24,"8.33"
"LEXY","Bleed Esports (ex)","Skye",2,24,"8.33"
"LEXY","Bleed Esports (ex)","Breach",2,24,"8.33"
"liazzi","Liberty","Neon",2,20,"10.00"
"Life","EDward Gaming (ex)","Jett",2,2,"100.00"
"Lily","EVA:e","Raze",2,3,"66.67"
"LOB","FAV gaming","Killjoy",2,23,"8.70"
"LOB","FAV gaming","Fade",2,23,"8.70"
"LucasVade","Meta Gaming (ex)","Viper",2,10,"20.00"
"luckeRRR","BIG (ex)","Breach",2,24,"8.33"
"luckeRRR","BIG (ex)","Omen",2,24,"8.33"
"luckeRRR","BIG (ex)","Breach",2,24,"8.33"
"luckeRRR","BIG (ex)","Omen",2,24,"8.33"
"Luke","World Game Star","KAY/O",2,54,"3.70"
"Luna","IXA","Chamber",2,5,"40.00"
"M4sh","EVA:e (ex)","Skye",2,3,"66.67"
"Machao","DetonatioN Gaming White (ex)","Sova",2,2,"100.00"
"mada","Luminosity Gaming (ex)","Neon",2,33,"6.06"
"mada","Shopify Rebellion","Neon",2,4,"50.00"
"MAGNUM","FNATIC (ex)","Cypher",2,24,"8.33"
"Marmelo","Jadeite","Sage",2,4,"50.00"
"Maru","Mariner","Sova",2,2,"100.00"
"matheuzin","TBK Esports","Sage",2,38,"5.26"
"Maverick","Stars Horizon (ex)","Viper",2,8,"25.00"
"Maverick","Stars Horizon (ex)","Omen",2,8,"25.00"
"maxie","Bleed Esports (ex)","Brimstone",2,37,"5.41"
"mazin","FURIA","Omen",2,49,"4.08"
"mazin","FURIA","Astra",2,49,"4.08"
"Meddo","G2 Esports (Inactive) (ex)","Sova",2,57,"3.51"
"Medusa","REJECT (ex)","Cypher",2,31,"6.45"
"Medusa","REJECT (ex)","Fade",2,31,"6.45"
"Meiy","Crazy Raccoon","Raze",2,40,"5.00"
"Meiy","Crazy Raccoon","Killjoy",2,40,"5.00"
"Melofovia","DetonatioN Gaming White (ex)","Killjoy",2,3,"66.67"
"MerRy","Storks Phalanx (ex)","Killjoy",2,4,"50.00"
"Minty","FAV gaming","Cypher",2,23,"8.70"
"Minty","FAV gaming","KAY/O",2,23,"8.70"
"mixwell","G2 Esports (Inactive) (ex)","KAY/O",2,52,"3.85"
"Mizu","9z Team","Cypher",2,37,"5.41"
"mnz","IXA","Breach",2,5,"40.00"
"mnz","IXA","Sova",2,5,"40.00"
"MOLSI","LDN UTD (ex)","Skye",2,12,"16.67"
"MOLSI","LDN UTD (ex)","KAY/O",2,12,"16.67"
"MONSTEERR","Acend (ex)","KAY/O",2,24,"8.33"
"Moose","Shopify Rebellion","Brimstone",2,4,"50.00"
"Munchkin","Crazy Raccoon (ex)","Chamber",2,26,"7.69"
"munghoon","VPZ","Sova",2,4,"50.00"
"murizzz","Keyd Stars (ex)","Fade",2,60,"3.33"
"musashi","BIG (ex)","Sova",2,12,"16.67"
"MuuShock","Rebellion Arts","Jett",2,2,"100.00"
"mwzera","Keyd Stars (ex)","KAY/O",2,60,"3.33"
"Myself","AWS","Sova",2,2,"100.00"
"myssen","Liberty","Fade",2,20,"10.00"
"NakJi","Maru Gaming (ex)","Omen",2,58,"3.45"
"Namikaze","SETOUCHI ENLIFE (ex)","Jett",2,2,"100.00"
"nAts","Gambit Esports (ex)","Viper",2,5,"40.00"
"nAts","Gambit Esports (ex)","Sage",2,5,"40.00"
"nAts","M3 Champions (ex)","Omen",2,81,"2.47"
"nAts","M3 Champions (ex)","Omen",2,81,"2.47"
"NcSlasher","Onic Esports (ex)","Omen",2,38,"5.26"
"Neal X","Insomnia (ex)","Jett",2,3,"66.67"
"nephh","Gaimin Gladiators (ex)","Breach",2,6,"33.33"
"nephh","Gaimin Gladiators (ex)","Yoru",2,6,"33.33"
"nephh","Gaimin Gladiators (ex)","KAY/O",2,6,"33.33"
"NeruFi","Crest Gaming ZST","Cypher",2,9,"22.22"
"NeruFi","Crest Gaming ZST","Sova",2,9,"22.22"
"NeruFi","Crest Gaming ZST","Killjoy",2,9,"22.22"
"NeruFi","Crest Gaming ZST","Chamber",2,9,"22.22"
"neth","Crazy Raccoon","Cypher",2,40,"5.00"
"neth","Crazy Raccoon","Chamber",2,40,"5.00"
"Nikumanyaro","SYSTEM e-Sports (ex)","Jett",2,2,"100.00"
"Nizzy","Fancy United Esports","Brimstone",2,5,"40.00"
"nobody","EDward Gaming","Sova",2,5,"40.00"
"NoriseN","REJECT (ex)","Sage",2,21,"9.52"
"NoriseN","REJECT (ex)","KAY/O",2,21,"9.52"
"NoriseN","REJECT (ex)","Chamber",2,21,"9.52"
"noxxy","Alter Ego (si)","Sage",2,22,"9.09"
"noxxy","Alter Ego (si)","Fade",2,22,"9.09"
"Nozwerr","FURIA (ex)","Breach",2,49,"4.08"
"Nozwerr","FURIA (ex)","Sage",2,49,"4.08"
"Nozz","Bonkers(OCE) (ex)","Neon",2,8,"25.00"
"nukkye","G2 Esports (Inactive) (ex)","Chamber",2,57,"3.51"
"nukkye","G2 Esports (Inactive) (ex)","Neon",2,57,"3.51"
"Nyang","Gamelanders Blue","Viper",2,24,"8.33"
"Nyang","Gamelanders Blue","Brimstone",2,24,"8.33"
"P4F","SchwarzerLand","Sova",2,2,"100.00"
"PADO","Veronica7 (ex)","Sage",2,5,"40.00"
"Paint","Insomnia (ex)","Sova",2,3,"66.67"
"pANcada","LOUD (ex)","Chamber",2,67,"2.99"
"ParkJJong","Tartarus (ex)","Sage",2,14,"14.29"
"ParkJJong","Tartarus (ex)","Skye",2,14,"14.29"
"ParkJJong","Tartarus (ex)","Fade",2,14,"14.29"
"Pay","Veronica7 (ex)","Jett",2,5,"40.00"
"pdr","INGAMING Esports (ex)","Sage",2,9,"22.22"
"pdr","INGAMING Esports (ex)","KAY/O",2,9,"22.22"
"Peloncito","E-Xolos LAZER","Sova",2,9,"22.22"
"PEPA","Team Vikings (ex)","Viper",2,9,"22.22"
"PEPA","Team Vikings (ex)","Omen",2,9,"22.22"
"Pepper","IGZIST (ex)","Raze",2,19,"10.53"
"pleets","Los Grandes","Sova",2,19,"10.53"
"pleets","Los Grandes","Brimstone",2,19,"10.53"
"poem","IGZIST","Skye",2,19,"10.53"
"poised","Rise (ex)","Killjoy",2,12,"16.67"
"pollo","Team Vikings (ex)","KAY/O",2,9,"22.22"
"popogachi","Crazy Raccoon","Skye",2,40,"5.00"
"pouoxo","TRIDENT (ex)","Skye",2,2,"100.00"
"pr0xy","Spear Gaming (ex)","Cypher",2,30,"6.67"
"prozin","Sharks Esports","Breach",2,9,"22.22"
"Puleule","9z Team","Breach",2,39,"5.13"
"Puleule","9z Team","Astra",2,39,"5.13"
"Purp0","Acend (si)","KAY/O",2,3,"66.67"
"pyth","Bleed Esports (ex)","Brimstone",2,37,"5.41"
"Quick","FURIA","Raze",2,49,"4.08"
"Quick","FURIA","Sage",2,49,"4.08"
"Quick","FURIA","Neon",2,49,"4.08"
"Rabbet","Rex Regum Qeon","Sova",2,7,"28.57"
"Rabbet","Rex Regum Qeon","Sage",2,7,"28.57"
"Rain","CNJ Esports","Breach",2,18,"11.11"
"Rainy","Griffin E-Sports","Fade",2,16,"12.50"
"Redgar","M3 Champions (ex)","Fade",2,81,"2.47"
"Redgar","M3 Champions","Fade",2,81,"2.47"
"redwater877","Team T5","Viper",2,22,"9.09"
"Reita","REJECT (ex)","Reyna",2,31,"6.45"
"Reita","REJECT (ex)","Skye",2,31,"6.45"
"RELAXING","TRIDENT (ex)","Astra",2,2,"100.00"
"rez1v","Storks Phalanx","Viper",2,4,"50.00"
"RHZ","Keyd Stars (ex)","Sage",2,29,"6.90"
"rion","Crazy Raccoon","Cypher",2,14,"14.29"
"RIPablo","IGZIST","Brimstone",2,19,"10.53"
"rochet","SunXet Club (ex)","Raze",2,11,"18.18"
"roseaufy","Persija Esports","Breach",2,16,"12.50"
"Rossy","TSM (ex)","Viper",2,10,"20.00"
"RyZzi","Desperado (ex)","Raze",2,21,"9.52"
"s0m","NRG Esports","Yoru",2,39,"5.13"
"Saadhak","LOUD","Viper",2,67,"2.99"
"SamuraiDeeper","Crest Gaming ZST (ex)","Jett",2,9,"22.22"
"Sayf","Guild Esports (ex)","Raze",2,54,"3.70"
"Sayf","Guild Esports (ex)","Cypher",2,54,"3.70"
"Sayf","Guild Esports (ex)","Viper",2,54,"3.70"
"Sayf","Guild Esports (ex)","Skye",2,54,"3.70"
"Secret","Desperado (ex)","Sova",2,21,"9.52"
"SEIDER","FunPlus Phoenix (si)","Sage",2,10,"20.00"
"SeolHo","Spear Gaming (ex)","KAY/O",2,7,"28.57"
"seven","TSM (ex)","Raze",2,10,"20.00"
"seven","TSM (ex)","Chamber",2,10,"20.00"
"seven","TSM (ex)","Neon",2,10,"20.00"
"sheydos","Gambit Esports (ex)","Sage",2,5,"40.00"
"sheydos","Gambit Esports (ex)","KAY/O",2,5,"40.00"
"shion","Liberty (ex)","Sova",2,20,"10.00"
"shroud","Sentinels","Brimstone",2,8,"25.00"
"Shuzz","SCARZ (ex)","Breach",2,5,"40.00"
"Shuzz","SCARZ (ex)","KAY/O",2,5,"40.00"
"SicK","Sentinels (ex)","Sage",2,24,"8.33"
"SicK","Sentinels (ex)","Omen",2,24,"8.33"
"sickLy","FUSION","Viper",2,2,"100.00"
"SiuFatBB","Griffin E-Sports","Skye",2,16,"12.50"
"skillZ","Global Esports","Brimstone",2,5,"40.00"
"skillZ","Global Esports","Astra",2,5,"40.00"
"skrawl","Bonkers(OCE) (ex)","Viper",2,8,"25.00"
"skuba","Knights (ex)","Omen",2,17,"11.76"
"skyeSG","No Namers (ex)","Brimstone",2,5,"40.00"
"skyeSG","No Namers (ex)","Omen",2,5,"40.00"
"Smoggy","EDward Gaming","Jett",2,3,"66.67"
"Sơn KeKe","Fancy United Esports (ex)","Viper",2,12,"16.67"
"Sơn KeKe","Fancy United Esports (ex)","KAY/O",2,12,"16.67"
"soulcas","Team Liquid","Sage",2,75,"2.67"
"soulcas","Team Liquid","Omen",2,75,"2.67"
"STYRON","Gaimin Gladiators (ex)","Fade",2,6,"33.33"
"Subroza","TSM (ex)","Viper",2,10,"20.00"
"Suka","Fancy United Esports (ex)","KAY/O",2,5,"40.00"
"Suke","SYSTEM e-Sports","Skye",2,2,"100.00"
"Surf","XERXIA Esports (ex)","Raze",2,61,"3.28"
"Sushi","EBRO Gaming (ex)","Viper",2,11,"18.18"
"sushiboys","XERXIA Esports (ex)","Jett",2,61,"3.28"
"sushiboys","XERXIA Esports (ex)","Fade",2,61,"3.28"
"SUYGETSU","FunPlus Phoenix (ex)","Skye",2,85,"2.35"
"swag","Team Vikings (ex)","Sage",2,9,"22.22"
"Swee","IXA","Reyna",2,5,"40.00"
"SylFy","Jadeite (ex)","Omen",2,12,"16.67"
"T3xture","DAMWON Gaming (ex)","Neon",2,56,"3.57"
"TAMAGO","AWS (ex)","Jett",2,2,"100.00"
"Tempz","No Namers (ex)","Skye",2,5,"40.00"
"Tempz","No Namers (ex)","KAY/O",2,5,"40.00"
"TENSAI","FENNEL (ex)","Sage",2,7,"28.57"
"TENSAI","FENNEL (ex)","Skye",2,7,"28.57"
"TenZ","Sentinels","Raze",2,36,"5.56"
"tex","NRG Esports (ex)","Sage",2,39,"5.13"
"THEE","FULL SENSE","Viper",2,11,"18.18"
"tinggg2k5","CERBERUS Esports","Jett",2,7,"28.57"
"Tio","Movistar Optix","Viper",2,27,"7.41"
"tixx","Bonkers(OCE) (ex)","Astra",2,8,"25.00"
"TORANECO","Hexad (ex)","Killjoy",2,6,"33.33"
"trexx","Guild Esports","Killjoy",2,54,"3.70"
"trexx","Guild Esports","Viper",2,54,"3.70"
"trexx","Guild Esports","Fade",2,54,"3.70"
"TS","On Sla2ers (ex)","Chamber",2,49,"4.08"
"TS","On Sla2ers (si)","Skye",2,6,"33.33"
"Tuli","Movistar Optix (ex)","Reyna",2,27,"7.41"
"Turko","BBL Esports","Fade",2,24,"8.33"
"Twinte","looking for a name (ex)","Astra",2,2,"100.00"
"v1nNy","Gamelanders Blue (ex)","Viper",2,15,"13.33"
"v1nNy","Gamelanders Blue (ex)","Skye",2,15,"13.33"
"vanity","Cloud9","Breach",2,47,"4.26"
"vanity","Cloud9","KAY/O",2,47,"4.26"
"Veroneze","Team Vikings (ex)","Sova",2,9,"22.22"
"Vici","Sengoku Gaming","Reyna",2,4,"50.00"
"vickt0r","Movistar Optix","Sage",2,27,"7.41"
"Victor","OpTic Gaming (ex)","Skye",2,111,"1.80"
"Victor","OpTic Gaming (ex)","Yoru",2,111,"1.80"
"vong","FOKUS (ex)","Viper",2,12,"16.67"
"vong","FOKUS (ex)","Brimstone",2,12,"16.67"
"vong","FOKUS (ex)","Skye",2,12,"16.67"
"wait","KRÜ Esports (ex)","Sova",2,2,"100.00"
"wannafly","Made in Thailand","Sage",2,28,"7.14"
"Wenty","GoNGo Prince (ex)","Killjoy",2,7,"28.57"
"Wenty","GoNGo Prince (ex)","Chamber",2,7,"28.57"
"Wenty","Tartarus (si)","Chamber",2,2,"100.00"
"wippie","Version1 (Inactive) (ex)","Cypher",2,21,"9.52"
"Wonjina","Next eSports","Skye",2,4,"50.00"
"WRONSKI","ORDER (ex)","Raze",2,16,"12.50"
"wyz","FUSION","Brimstone",2,14,"14.29"
"wyz","FUSION","Omen",2,14,"14.29"
"Xander","FUSION","Killjoy",2,14,"14.29"
"Xiaonuo","DeToNator","Astra",2,3,"66.67"
"XXiF","Knights (ex)","Skye",2,17,"11.76"
"YaBoiDre","Evil Geniuses (ex)","KAY/O",2,12,"16.67"
"yoman","Next eSports (ex)","Jett",2,4,"50.00"
"yoman","Next eSports (ex)","Chamber",2,4,"50.00"
"Yso","TRIDENT (ex)","Chamber",2,2,"100.00"
"Zander","Version1 (Inactive) (ex)","Omen",2,21,"9.52"
"zeddy","Natus Vincere (ex)","Breach",2,22,"9.09"
"zekken","XSET (ex)","Skye",2,66,"3.03"
"Zellsis","Sentinels (ex)","Neon",2,8,"25.00"
"Zellsis","Version1 (Inactive) (ex)","Sage",2,21,"9.52"
"zepher","REJECT (ex)","Viper",2,31,"6.45"
"zepher","REJECT (ex)","Skye",2,31,"6.45"
"Zerost","BLUE BEES.ESP (ex)","Cypher",2,7,"28.57"
"Zerost","Sengoku Gaming","Fade",2,4,"50.00"
"Zest","DRX","Skye",2,91,"2.20"
"zombs","Sentinels (ex)","Brimstone",2,19,"10.53"
"Zyppan","FunPlus Phoenix (ex)","Sova",2,95,"2.11"
"柳ヶ瀬鈴乃","IXA (ex)","Sova",2,5,"40.00"
"柳ヶ瀬鈴乃","IXA (ex)","Chamber",2,5,"40.00"
"MONSTEERR","Acend (ex)","Omen",1,24,"4.17"
"B1ngSu","Veronica7","Killjoy",1,5,"20.00"
"MOLSI","OG LDN UTD (ex)","Fade",1,21,"4.76"
"RHZ","Keyd Stars (ex)","Fade",1,29,"3.45"
"MOLSI","OG LDN UTD (ex)","Neon",1,21,"4.76"
"RHZ","Keyd Stars (si)","Sova",1,6,"16.67"
"RHZ","Keyd Stars (si)","Sage",1,6,"16.67"
"RHZ","Keyd Stars (si)","Skye",1,6,"16.67"
"RIA","ややーず (ex)","Raze",1,2,"50.00"
"RIA","ややーず (ex)","Chamber",1,2,"50.00"
"MOLSI","OG LDN UTD (ex)","Skye",1,21,"4.76"
"ringring","CNJ Esports","Breach",1,6,"16.67"
"moco","TRIDENT (ex)","KAY/O",1,2,"50.00"
"azys","South Built Esports (ex)","Chamber",1,11,"9.09"
"moco","TRIDENT (ex)","Breach",1,2,"50.00"
"mnz","IXA","Sage",1,5,"20.00"
"Mizu","9z Team","Skye",1,37,"2.70"
"XXiF","Knights (ex)","Jett",1,17,"5.88"
"RIPablo","IGZIST","Sage",1,19,"5.26"
"Mizu","9z Team","Viper",1,37,"2.70"
"Mizu","9z Team","Killjoy",1,37,"2.70"
"Ripper","Oasis Gaming","Killjoy",1,2,"50.00"
"Ripper","Oasis Gaming","Brimstone",1,2,"50.00"
"Mizu","9z Team","Breach",1,37,"2.70"
"rite2ace","Velocity Gaming (ex)","Omen",1,6,"16.67"
"RND","Los Grandes (ex)","Jett",1,19,"5.26"
"RND","Los Grandes (ex)","Skye",1,19,"5.26"
"mixwell","G2 Esports (Inactive) (ex)","Skye",1,52,"1.92"
"RoaN","SunXet Club (ex)","Viper",1,11,"9.09"
"mixwell","G2 Esports (Inactive) (ex)","Sage",1,52,"1.92"
"RoaN","SunXet Club (ex)","Skye",1,11,"9.09"
"Mited","FUSION","Sage",1,14,"7.14"
"40pingSterry","SETOUCHI ENLIFE","Sova",1,2,"50.00"
"mitch","Cloud9 (ex)","Brimstone",1,47,"2.13"
"azys","South Built Esports (ex)","Raze",1,11,"9.09"
"mitch","Cloud9 (ex)","Breach",1,47,"2.13"
"Misaya","Sengoku Gaming","KAY/O",1,11,"9.09"
"Misaya","Sengoku Gaming","Raze",1,11,"9.09"
"Minty","FAV gaming","Sage",1,23,"4.35"
"XXiF","Knights (ex)","Neon",1,17,"5.88"
"Rossy","TSM (ex)","Skye",1,10,"10.00"
"Minimise","Bonkers(OCE) (ex)","Breach",1,8,"12.50"
"rubkkoide","PAMPAS (ex)","Sage",1,11,"9.09"
"micr0","South Built Esports (ex)","Omen",1,4,"25.00"
"Meteor","NORTHEPTION (ex)","Raze",1,40,"2.50"
"MerRy","Storks Phalanx (ex)","Jett",1,4,"25.00"
"Russ","Guild Esports (ex)","Killjoy",1,47,"2.13"
"MerRy","Storks Phalanx (ex)","Sova",1,4,"25.00"
"Melofovia","DetonatioN Gaming White (ex)","Cypher",1,3,"33.33"
"Meiy","Crazy Raccoon","Chamber",1,40,"2.50"
"Meimoo","Rebellion Arts","Astra",1,2,"50.00"
"Meimoo","Rebellion Arts","Viper",1,2,"50.00"
"Medusa","REJECT (ex)","Neon",1,31,"3.23"
"Medusa","REJECT (ex)","KAY/O",1,31,"3.23"
"Medusa","REJECT (ex)","Astra",1,31,"3.23"
"Medusa","REJECT (ex)","Skye",1,31,"3.23"
"Medusa","REJECT (ex)","Jett",1,31,"3.23"
"RyZzi","Desperado (ex)","Breach",1,21,"4.76"
"azuma","K2 eSports (ex)","Astra",1,2,"50.00"
"Medusa","REJECT (ex)","Sage",1,31,"3.23"
"Medusa","REJECT (ex)","Brimstone",1,31,"3.23"
"Medusa","Crest Gaming ZST (si)","Neon",1,1,"100.00"
"Meddo","G2 Esports (Inactive) (ex)","Fade",1,57,"1.75"
"Mazino","KRÜ Esports (ex)","Jett",1,73,"1.37"
"Mazino","KRÜ Esports (ex)","Reyna",1,73,"1.37"
"Mazino","KRÜ Esports (ex)","Raze",1,73,"1.37"
"Mazino","KRÜ Esports (ex)","Breach",1,73,"1.37"
"2KY","SchwarzerLand","KAY/O",1,2,"50.00"
"mazin","FURIA","Breach",1,49,"2.04"
"MatiS","EBRO Gaming (ex)","Raze",1,11,"9.09"
"s0m","NRG Esports","Neon",1,39,"2.56"
"matheuzin","TBK Esports","Astra",1,38,"2.63"
"Saadhak","LOUD","Raze",1,67,"1.49"
"Saadhak","LOUD","Cypher",1,67,"1.49"
"azuma","K2 eSports (ex)","Viper",1,2,"50.00"
"matheuzin","TBK Esports","Breach",1,38,"2.63"
"Marved","OpTic Gaming","Chamber",1,111,"0.90"
"Marved","OpTic Gaming","Skye",1,111,"0.90"
"Marved","OpTic Gaming","Breach",1,111,"0.90"
"Saadhak","LOUD","Fade",1,67,"1.49"
"Sacchi","SchwarzerLand","Killjoy",1,2,"50.00"
"Sacchi","SchwarzerLand","Sage",1,2,"50.00"
"sachi","Rebellion Arts (ex)","Sova",1,2,"50.00"
"sachi","Rebellion Arts (ex)","Skye",1,2,"50.00"
"Marmelo","Jadeite","Skye",1,4,"25.00"
"Marmelo","Jadeite","Breach",1,4,"25.00"
"Sacy","LOUD (ex)","Skye",1,67,"1.49"
"Marky","Oasis Gaming","Jett",1,4,"25.00"
"sakurai","Crest Gaming ZST (ex)","Raze",1,2,"50.00"
"sakurai","Crest Gaming ZST (ex)","Sage",1,2,"50.00"
"marin","SCARZ (ex)","Viper",1,5,"20.00"
"sakurai","REJECT (si)","Sage",1,1,"100.00"
"SamuraiDeeper","Crest Gaming ZST (ex)","Breach",1,9,"11.11"
"Maple","ORDER (ex)","Sage",1,16,"6.25"
"SamuraiDeeper","Crest Gaming ZST (ex)","Sage",1,9,"11.11"
"AzeL","looking for a name (ex)","Viper",1,2,"50.00"
"SamuraiDeeper","REJECT (si)","Breach",1,1,"100.00"
"Maple","ORDER (ex)","Breach",1,16,"6.25"
"Majestyy","FW Esports","Viper",1,5,"20.00"
"Majestyy","FW Esports","Sova",1,5,"20.00"
"AzeL","looking for a name (ex)","Sova",1,2,"50.00"
"AYRIN","XSET (ex)","Cypher",1,66,"1.52"
"MAGNUM","FNATIC (ex)","Chamber",1,24,"4.17"
"Yacine","Guild Esports","Sage",1,7,"14.29"
"MAGNUM","FNATIC (ex)","Sage",1,24,"4.17"
"Yacine","Guild Esports","Jett",1,7,"14.29"
"mada","Shopify Rebellion","KAY/O",1,4,"25.00"
"mada","Shopify Rebellion","Yoru",1,4,"25.00"
"mada","Luminosity Gaming (ex)","Jett",1,33,"3.03"
"mada","Luminosity Gaming (ex)","Reyna",1,33,"3.03"
"ScreaM","Team Liquid (ex)","Reyna",1,75,"1.33"
"mada","Luminosity Gaming (ex)","Killjoy",1,33,"3.03"
"M4sh","EVA:e (ex)","Sova",1,3,"33.33"
"Luna","IXA","Skye",1,5,"20.00"
"Secret","Desperado (ex)","Breach",1,21,"4.76"
"Luna","IXA","Jett",1,5,"20.00"
"Yacine","Guild Esports","KAY/O",1,7,"14.29"
"Secret","Desperado (ex)","Sage",1,21,"4.76"
"Luna","IXA","Raze",1,5,"20.00"
"Lumo","Insomnia (ex)","KAY/O",1,3,"33.33"
"Lumo","Insomnia (ex)","Skye",1,3,"33.33"
"Lumo","Insomnia (ex)","Sage",1,3,"33.33"
"Asuna","100 Thieves","Chamber",1,55,"1.82"
"lukzera","TBK Esports","Fade",1,38,"2.63"
"SeolHo","Spear Gaming (ex)","Skye",1,7,"14.29"
"Luke","World Game Star","Skye",1,54,"1.85"
"Asuna","100 Thieves","Reyna",1,55,"1.82"
"YAYA","ややーず","Sova",1,2,"50.00"
