"Ign","Team","Acs","Matches"
"TS","On Sla2ers (ex)",197,55
"disk0","ORDER (ex)",197,16
"AzeL","looking for a name (ex)",197,2
"2KY","SchwarzerLand",197,2
"Sơn KeKe","Fancy United Esports (ex)",196,12
"pANcada","LOUD (ex)",196,67
"AloNeFillz","Made in Thailand",196,28
"flippy","South Built Esports (ex)",196,10
"mitch","Cloud9 (ex)",196,47
"bazz","FAV gaming",196,23
"Zerost","BLUE BEES.ESP (ex)",196,7
"C0M","Evil Geniuses",196,23
"Kakarot","NAOS Esports",196,6
"10X","HolyMolly (ex)",196,26
"pr0xy","Spear Gaming (ex)",196,30
"Genghsta","Knights (ex)",196,17
"krain","Liberty",196,20
"Kr1stal","BLUE BEES.ESP (ex)",196,13
"W1nner","Griffin E-Sports",195,16
"sakurai","Crest Gaming ZST (ex)",195,2
"ryota-","SCARZ (ex)",195,5
"d3ffo","Gambit Esports (ex)",195,5
"dzii","Gaimin Gladiators (ex)",195,6
"Shyy","Leviatán",195,36
"Xandrite","NORTHEPTION (ex)",194,14
"Wenty","GoNGo Prince (ex)",194,7
"Rabbet","Rex Regum Qeon",194,7
"soulcas","Team Liquid",194,75
"rDeeW","Bonkers(OCE) (ex)",194,8
"Kanpeki","Sentinels (ex)",194,11
"vanity","Cloud9",194,47
"maxie","Bleed Esports (ex)",193,37
"D1E","Movistar Optix",193,14
"Shiro","Onic Esports (ex)",193,38
"SyouTa","Crest Gaming ZST (ex)",193,9
"Meddo","G2 Esports (Inactive) (ex)",193,57
"Khalil","FURIA",193,49
"v1xen","Keyd Stars (ex)",193,25
"prozin","Sharks Esports",192,9
"pippi","Rebellion Arts",192,2
"Fung3","Griffin E-Sports",192,16
"HANLING","9z Team (ex)",192,32
"murizzz","Keyd Stars (ex)",192,60
"ryotzz","TBK Esports",192,38
"Boo","LDN UTD (ex)",192,12
"iRdy","World Game Star",192,59
"GOLD","Desperado (ex)",192,21
"deigara","9z Team",191,39
"Esperanza","DAMWON Gaming",191,58
"Nivera","Team Liquid (ex)",191,75
"Darker","FUSION",191,4
"sushiboys","XERXIA Esports (ex)",191,61
"aproto","Ghost Gaming (ex)",191,15
"Xdll","BLUE BEES.ESP (ex)",191,13
"Derialy","NORTHEPTION",191,26
"xnfri","NORTHEPTION (ex)",191,40
"iNTRO","DAMWON Gaming (ex)",191,30
"FifTy","DeToNator",191,3
"ANDROID","NRG Esports (ex)",191,13
"Purp0","Acend (si)",191,3
"d4v41","Paper Rex",191,61
"aimDLL","BBL Esports",191,26
"frz","Sharks Esports (ex)",191,9
"Zest","DRX",191,91
"M4sh","EVA:e (ex)",191,3
"baddyG","FunPlus Phoenix (ex)",190,16
"kvzx","NAOS Esports",190,6
"Starxo","Acend",190,37
"badsitoww","Meta Gaming (ex)",190,10
"Ethan","100 Thieves (ex)",190,13
"ChAlalala","FULL SENSE (ex)",190,11
"Moose","Luminosity Gaming (ex)",190,33
"ShahZaM","Sentinels (ex)",190,38
"stax","DRX",190,91
"Minimise","Bonkers(OCE) (ex)",190,8
"crashies","OpTic Gaming (ex)",190,111
"shura","Focus e-Sports",190,2
"Harry","Brimstone (si)",190,7
"zeek","Acend (ex)",190,28
"Sushi","EBRO Gaming (ex)",189,11
"Zerost","Sengoku Gaming",189,4
"Jady","Natus Vincere (ex)",189,13
"Fuzari","Gamelanders Blue (ex)",189,24
"SSeeS","DetonatioN Gaming White (ex)",189,3
"neth","Crazy Raccoon",189,40
"DeNaro","MIBR (ex)",189,17
"rez1v","Storks Phalanx",189,4
"Jeong Hi","Maru Gaming (ex)",188,32
"eKo","Reignite (ex)",188,10
"LAMMYSNAX","FULL SENSE (ex)",188,11
"braveaf","FNATIC (ex)",188,20
"JoXJo","NORTHEPTION (ex)",188,40
"Mistic","FNATIC (ex)",188,69
"killua","FW Esports",188,5
"prince","Los Grandes (ex)",188,19
"Derrek","100 Thieves",188,42
"TORANECO","Hexad (ex)",188,6
"neT","The Guard",188,55
"jEEE","NAOS Esports",188,6
"Felix","Brimstone (si)",188,7
"tinggg2k5","CERBERUS Esports",187,7
"Ijin","Storks Phalanx (ex)",187,4
"PapiChulo","South Built Esports (ex)",187,10
"dapr","Sentinels (ex)",187,38
"Eliza","GoNGo Prince (ex)",187,7
"Medusa","Crest Gaming ZST (si)",187,1
"TORANECO","BLUE BEES.ESP (ex)",186,6
"Life","EDward Gaming (ex)",186,2
"kurozooted","Reignite",186,10
"marin","SCARZ (ex)",186,5
"SEVERiNE","Onic Esports (ex)",186,38
"ClarK","World Game Star (ex)",186,5
"vickt0r","Movistar Optix",186,27
