"Ign","Team","Opponents","Clutches","Clutch Failures"
"vanity","Cloud9",,19,130
"SylFy","Jadeite (ex)",,7,48
"murizzz","Keyd Stars (ex)",,11,76
"ardiis","FunPlus Phoenix (ex)",,25,174
"soulcas","Team Liquid",,24,168
"Lakia","IGZIST (ex)",,4,28
"GodDead","On Sla2ers (si)",,1,7
"10X","HolyMolly (ex)",,4,28
"skillZ","Global Esports",,1,7
"Jady","M3 Champions",,3,21
"GOLD","Desperado (si)",,2,14
"Zerost","BLUE BEES.ESP (ex)",,2,14
"Kishi","CERBERUS Esports (ex)",,4,28
"kellyS","Rex Regum Qeon (ex)",,1,7
"Minimise","Bonkers(OCE) (ex)",,2,14
"Luke","World Game Star",,17,119
"f1cio","Fancy United Esports",,3,21
"xand","Ninjas in Pyjamas (ex)",,19,133
"Brofeld","Hexad (ex)",,2,14
"SUTHER","9z Team (ex)",,10,70
"ANGE1","FunPlus Phoenix (ex)",,13,92
"Meddo","G2 Esports (Inactive) (ex)",,21,149
"BABYBAY","FaZe Clan",,8,57
"Chronicle","M3 Champions (ex)",,7,50
"dicey","FaZe Clan",,13,93
"yay","OpTic Gaming (ex)",,33,237
"Puleule","9z Team",,16,115
"Melser","Leviatán (ex)",,20,144
"v1xen","Keyd Stars (ex)",,8,58
"curry","Cloud9 (ex)",,4,29
"Dszera","Team Vikings (ex)",,4,29
"vaiZ","Leviatán (ex)",,8,58
"Den2","Spear Gaming (ex)",,3,22
"Exy","DAMWON Gaming",,18,132
"bazz","FAV gaming",,6,44
"xnfri","NORTHEPTION (ex)",,14,103
"C0M","Evil Geniuses",,11,81
"v1nNy","Gamelanders Blue (ex)",,5,37
"Tuli","Movistar Optix (ex)",,5,37
"Twisten","BIG (ex)",,7,52
"tex","NRG Esports (ex)",,9,67
"Derrek","Rise (ex)",,6,45
"Daicute","CERBERUS Esports (ex)",,2,15
"myssen","Liberty",,8,60
"RHZ","Keyd Stars (si)",,2,15
"Pepper","IGZIST (ex)",,4,30
"Ethan","100 Thieves (ex)",,4,30
"GodDead","On Sla2ers",,9,68
"frostmind","BOOM Esports (ex)",,9,68
"d3ffo","M3 Champions (ex)",,7,53
"ScreaM","Team Liquid (ex)",,17,129
"hype","OG LDN UTD (ex)",,6,46
"Bazzi","On Sla2ers (ex)",,12,92
"SamuraiDeeper","Crest Gaming ZST (ex)",,3,23
"Esperanza","DAMWON Gaming",,13,100
"Bangnan","DAMWON Gaming (ex)",,4,31
"bmVz","Fancy United Esports (ex)",,5,39
"Ssun","Spear Gaming (ex)",,5,39
"W1nner","Griffin E-Sports",,5,39
"heat","Keyd Stars (ex)",,17,133
"Chibab","Maru Gaming",,6,47
"Hermes","HolyMolly (ex)",,7,55
"hsk","DetonatioN Gaming White",,1,8
"D1E","Meta Gaming (ex)",,2,16
"shroud","Sentinels",,3,24
"TENSAI","FENNEL (ex)",,2,16
"popogachi","Crazy Raccoon",,12,96
"Moves","Maru Gaming (ex)",,7,56
"dimasick","Team Liquid",,7,56
"Mizu","9z Team",,8,64
"DaeGi","Tartarus (ex)",,3,24
"TiGG","Shopify Rebellion (ex)",,1,8
"CHIMEI","Oblivion Force",,1,8
"Danielesflo","FUSION (ex)",,1,8
"raafa","Liberty (ex)",,3,24
"bdog","Luminosity Gaming (ex)",,11,89
"Russ","Guild Esports (ex)",,7,57
"SEVERiNE","Onic Esports (ex)",,9,74
"pyth","Bleed Esports (ex)",,13,107
"CyderX","SuperMassive (ex)",,4,33
"SiuFatBB","Griffin E-Sports",,4,33
"JhoW","Keyd Stars (ex)",,7,58
"Moose","Luminosity Gaming (ex)",,13,108
"Draxii","Rex Regum Qeon (ex)",,3,25
"Jady","Natus Vincere (ex)",,3,25
"jcStani","100 Thieves (ex)",,3,25
"NANZIN","INGAMING Esports (ex)",,3,25
"JonahP","The Guard",,12,100
"Daveeys","E-Xolos LAZER (ex)",,5,42
"zeek","Acend (ex)",,5,42
"AslaN","BIG (ex)",,5,42
"Saadhak","LOUD",,8,68
"Bonecold","Acend (ex)",,4,34
"Derialy","FENNEL (ex)",,2,17
"HellFull","FUSION (ex)",,2,17
"Leo","Guild Esports (ex)",,18,154
"JinboongE","HolyMolly (ex)",,6,52
"Nyang","Gamelanders Blue",,9,78
"RND","Los Grandes (ex)",,3,26
"iNTRO","DAMWON Gaming (si)",,7,61
"iluri","FOKUS (ex)",,4,35
"frz","MIBR",,6,53
"koalanoob","Ghost Gaming (ex)",,2,18
"eKo","Reignite (ex)",,3,27
"Wenty","GoNGo Prince (ex)",,2,18
"artn","Gaimin Gladiators (ex)",,2,18
