"Ign","Team","Spend"
"mnz","IXA","243950"
"JitboyS","FW Esports (ex)","242200"
"SungJin","CNJ Esports (ex)","241050"
"PADO","Veronica7 (ex)","239100"
"Anguuuuu","Storks Phalanx (ex)","236400"
"ClarK","World Game Star (ex)","232900"
"B1ngSu","Veronica7","230500"
"Kiuuuu","Oblivion Force","230400"
"skyeSG","No Namers (ex)","228950"
"Shun","No Namers (ex)","228100"
"Halbae","World Game Star (ex)","223500"
"H1BER","FNATIC (si)","222300"
"MerRy","Storks Phalanx (ex)","220550"
"CHIMEI","Oblivion Force","218050"
"hypathor","Oblivion Force","216400"
"something","Sengoku Gaming","214600"
"Alex","Next eSports (ex)","212700"
"micr0","South Built Esports (ex)","211300"
"hsk","DetonatioN Gaming White","209250"
"Zerost","Sengoku Gaming","207050"
"Wonjina","Next eSports","204250"
"K1LLERS","Fancy United Esports (ex)","200700"
"Darker","FUSION","199900"
"Marky","Oasis Gaming","197750"
"Blas","NAOS Esports","196700"
"Skyfull","DeToNator (ex)","196650"
"invy","Oasis Gaming (ex)","194150"
"yoman","Next eSports (ex)","193500"
"Xiaonuo","DeToNator","190450"
"coco","Oasis Gaming","188350"
"arm1e","EVA:e (ex)","187550"
"Killer0714","DetonatioN Gaming White","186000"
"AztKk","FUSION (ex)","185150"
"munghoon","VPZ","184500"
"Vici","Sengoku Gaming","184150"
"K1llgrave","DeToNator (ex)","183050"
"Suggest","DetonatioN Gaming White (ex)","183000"
"Wild0reoo","Oasis Gaming","182350"
"Kant","VPZ (ex)","182100"
"TenzouEz","DeToNator (ex)","182000"
"Marmelo","Jadeite","181800"
"Hate","Jadeite (ex)","181600"
"CyderX","BBL Esports (si)","181450"
"Solution","FUSION (ex)","180150"
"Haxball","VPZ","179850"
"Lily","EVA:e","179500"
"DippER","VPZ (ex)","178500"
"Has1ra14","Maru Gaming (ex)","177050"
"HellFull","FUSION (ex)","176000"
"SID","VPZ","174200"
"FifTy","DeToNator","173750"
"EROC","EVA:e (ex)","173500"
"Jan","Next eSports","173050"
"Junseo","Next eSports","169150"
"M4sh","EVA:e (ex)","168750"
"Danielesflo","FUSION (ex)","168500"
"LEXY","Bleed Esports (si)","158950"
"Smoggy","EDward Gaming","154000"
