"Ign","Team","Agent","Rounds","Wins","Percentage"
"blaZek1ng","BOOM Esports","KAY/O",60,25,"41.67"
"BABYBAY","FaZe Clan","Raze",89,37,"41.57"
"Luke","World Game Star","Chamber",41,17,"41.46"
"Obnoks","BIG (ex)","Sage",41,17,"41.46"
"raafa","Liberty (ex)","Chamber",70,29,"41.43"
"v1nNy","Gamelanders Blue (ex)","Sova",46,19,"41.30"
"Nyang","Gamelanders Blue","Astra",68,28,"41.18"
"SungJin","Spear Gaming (ex)","Omen",85,35,"41.18"
"Hermes","HolyMolly (ex)","Jett",68,28,"41.18"
"Dreamas","Team Liquid (ex)","Breach",90,37,"41.11"
"SungJin","Spear Gaming (ex)","Brimstone",39,16,"41.03"
"BabyJ","100 Thieves (ex)","Cypher",100,41,"41.00"
"sheydos","M3 Champions (ex)","Breach",122,50,"40.98"
"sheydos","M3 Champions","Breach",122,50,"40.98"
"AslaN","BIG (ex)","Jett",83,34,"40.96"
"valyn","The Guard","Astra",166,68,"40.96"
"valyn","The Guard (ex)","Astra",166,68,"40.96"
"seven","TSM (ex)","Jett",22,9,"40.91"
"pdr","Stars Horizon (ex)","Chamber",22,9,"40.91"
"pdr","INGAMING Esports (ex)","KAY/O",22,9,"40.91"
"pAura","BBL Esports (ex)","Killjoy",22,9,"40.91"
"glym","Liberty (ex)","Jett",22,9,"40.91"
"Derialy","NORTHEPTION","Sage",22,9,"40.91"
"pr0xy","Spear Gaming (ex)","Viper",22,9,"40.91"
"vaiZ","Leviatán (ex)","Viper",22,9,"40.91"
"Pro","South Built Esports (ex)","Sova",22,9,"40.91"
"KuuKai","Crest Gaming ZST (ex)","Cypher",22,9,"40.91"
"Den2","Spear Gaming (ex)","Sova",22,9,"40.91"
"bazz","FAV gaming","Omen",44,18,"40.91"
"nukkye","G2 Esports (Inactive) (ex)","Neon",22,9,"40.91"
"tex","NRG Esports (ex)","Skye",22,9,"40.91"
"Rainy","Griffin E-Sports","KAY/O",22,9,"40.91"
"leonzhett","PAMPAS (ex)","Breach",22,9,"40.91"
"K1LLERS","Fancy United Esports (ex)","KAY/O",22,9,"40.91"
"Jinggg","Paper Rex","Neon",22,9,"40.91"
"hatty","ややーず (ex)","KAY/O",22,9,"40.91"
"vong","FOKUS (ex)","Killjoy",22,9,"40.91"
"krain","Liberty","Viper",22,9,"40.91"
"takej","REJECT (ex)","Sage",22,9,"40.91"
"SyouTa","REJECT (si)","Raze",22,9,"40.91"
"Dualing","Storks Phalanx (ex)","Reyna",22,9,"40.91"
"NANZIN","Stars Horizon","Breach",22,9,"40.91"
"liazzi","Liberty","KAY/O",22,9,"40.91"
"DaeGi","Tartarus (ex)","Raze",22,9,"40.91"
"RIA","ややーず (ex)","Chamber",22,9,"40.91"
"RoaN","SunXet Club (ex)","KAY/O",22,9,"40.91"
"Lmemore","Onic Esports (ex)","Cypher",22,9,"40.91"
"eKo","Reignite (ex)","Skye",22,9,"40.91"
"d4v41","Paper Rex","Breach",22,9,"40.91"
"arm1e","EVA:e (ex)","Breach",22,9,"40.91"
"RyZzi","Desperado (ex)","Breach",22,9,"40.91"
"EROC","EVA:e (ex)","Astra",22,9,"40.91"
"curry","Cloud9 (ex)","KAY/O",22,9,"40.91"
"Monyet","Onic Esports (ex)","Raze",44,18,"40.91"
"kobra","REJECT (si)","Brimstone",22,9,"40.91"
"Ethan","100 Thieves (ex)","Chamber",22,9,"40.91"
"sachi","Rebellion Arts (ex)","Skye",22,9,"40.91"
"sakurai","REJECT (si)","Sage",22,9,"40.91"
"SugarZ3ro","ZETA DIVISION","Brimstone",22,9,"40.91"
"Ijin","Storks Phalanx (ex)","Chamber",22,9,"40.91"
"gustt1nha","Los Grandes (ex)","KAY/O",44,18,"40.91"
"Subroza","TSM (ex)","Phoenix",22,9,"40.91"
"KappA","Global Esports","Sova",44,18,"40.91"
"ScreaM","Team Liquid (ex)","Reyna",22,9,"40.91"
"Eugene","DAMWON Gaming","Brimstone",22,9,"40.91"
"corey","TSM (ex)","Cypher",22,9,"40.91"
"Exy","DAMWON Gaming","Brimstone",22,9,"40.91"
"SEVERiNE","Onic Esports (ex)","Viper",22,9,"40.91"
"SEVERiNE","Onic Esports (ex)","Skye",22,9,"40.91"
"kiles","Acend (ex)","Astra",22,9,"40.91"
"Jemkin","Crest Gaming ZST (ex)","KAY/O",22,9,"40.91"
"Fisker","FAV gaming (ex)","Jett",44,18,"40.91"
"soulcas","Team Liquid","Omen",22,9,"40.91"
"FREY","Gaimin Gladiators (ex)","Cypher",22,9,"40.91"
"Sơn KeKe","Fancy United Esports (ex)","Omen",22,9,"40.91"
"matheuzin","TBK Esports","Astra",22,9,"40.91"
"Phantom","FAV gaming","Killjoy",44,18,"40.91"
"GODLIKE","World Game Star (ex)","Breach",203,83,"40.89"
"noxxy","Alter Ego (si)","Sage",49,20,"40.82"
"Sk9Na","Team GP (ex)","Sova",59,24,"40.68"
"Ssun","Spear Gaming (ex)","Raze",165,67,"40.61"
"leonzhett","PAMPAS (ex)","Fade",69,28,"40.58"
"pr0xy","Spear Gaming (ex)","Cypher",37,15,"40.54"
"Fisker","FAV gaming (ex)","Raze",89,36,"40.45"
"shion","Liberty (ex)","Skye",47,19,"40.43"
"Secret","Desperado (ex)","Neon",104,42,"40.38"
"sScary","XERXIA Esports (ex)","Brimstone",52,21,"40.38"
"Dcop","FUSION","Fade",62,25,"40.32"
"vow","Team T5 (ex)","Killjoy",67,27,"40.30"
"Leo","Guild Esports (ex)","Fade",67,27,"40.30"
"Nyang","Gamelanders Blue","Omen",72,29,"40.28"
"Mistic","FNATIC (ex)","Skye",87,35,"40.23"
"Marved","OpTic Gaming","Omen",122,49,"40.16"
"RyZzi","Desperado (ex)","Reyna",127,51,"40.16"
"Destrian","OG LDN UTD (ex)","Breach",45,18,"40.00"
"Harry","HolyMolly","Cypher",45,18,"40.00"
"Hyzee","Fancy United Esports (ex)","Astra",65,26,"40.00"
"frz","MIBR","Chamber",45,18,"40.00"
"Jeong Hi","Maru Gaming (ex)","Omen",65,26,"40.00"
"JonahP","The Guard","Jett",35,14,"40.00"
"Felix","HolyMolly (ex)","Brimstone",35,14,"40.00"
"Hermes","HolyMolly (ex)","Neon",45,18,"40.00"
"dgzin","Gamelanders Blue (ex)","Jett",148,59,"39.86"
"prozin","Sharks Esports","KAY/O",108,43,"39.81"
"Jeong Hi","Maru Gaming (ex)","Astra",58,23,"39.66"
"Envy","FENNEL (ex)","Cypher",58,23,"39.66"
"Boaster","FNATIC","Skye",43,17,"39.53"
"ANDROID","NRG Esports (ex)","Chamber",43,17,"39.53"
"kurozooted","Reignite","Killjoy",43,17,"39.53"
"gMd","TSM (ex)","Omen",43,17,"39.53"
"RoaN","SunXet Club (ex)","Sage",43,17,"39.53"
"trexx","Guild Esports","Sova",43,17,"39.53"
"Dreamas","LDN UTD (ex)","Killjoy",43,17,"39.53"
"Eeyore","Persija Esports","Cypher",43,17,"39.53"
"MOLSI","LDN UTD (ex)","Sova",43,17,"39.53"
"TenZ","Sentinels","Chamber",43,17,"39.53"
"tinggg2k5","CERBERUS Esports","Raze",43,17,"39.53"
"Obnoks","BIG (ex)","Killjoy",43,17,"39.53"
"Sayaplayer","The Guard (ex)","Raze",43,17,"39.53"
"dephh","XSET (ex)","Cypher",81,32,"39.51"
"vow","Team T5 (ex)","Chamber",76,30,"39.47"
"fl1pzjder","BOOM Esports (ex)","Chamber",71,28,"39.44"
"Daicute","CERBERUS Esports (ex)","Chamber",122,48,"39.34"
"JUGi","FOKUS","Neon",46,18,"39.13"
"xand","Ninjas in Pyjamas (ex)","Killjoy",59,23,"38.98"
"crashies","OpTic Gaming (ex)","Sova",77,30,"38.96"
"redwater877","Team T5","KAY/O",198,77,"38.89"
"Swee","IXA","Reyna",36,14,"38.89"
"Moothie","CNJ Esports (ex)","Chamber",106,41,"38.68"
"Life","EDward Gaming (ex)","Jett",44,17,"38.64"
"RyZzi","Desperado (ex)","KAY/O",44,17,"38.64"
"cNed","Acend (ex)","Jett",83,32,"38.55"
"Chibab","Maru Gaming","Jett",262,101,"38.55"
"DOGAO","Movistar Optix","Killjoy",34,13,"38.24"
"Genghsta","Knights (ex)","Breach",21,8,"38.10"
"rDeeW","ORDER (ex)","Chamber",21,8,"38.10"
"W1nner","Griffin E-Sports","KAY/O",63,24,"38.10"
"TS","On Sla2ers (ex)","Phoenix",21,8,"38.10"
"Melofovia","DetonatioN Gaming White (ex)","Cypher",21,8,"38.10"
"dapr","Sentinels (ex)","Viper",21,8,"38.10"
"wannafly","Made in Thailand","Cypher",21,8,"38.10"
"NcSlasher","Onic Esports (ex)","Sage",21,8,"38.10"
"nAts","M3 Champions (ex)","Omen",42,16,"38.10"
"Boaster","FNATIC","Brimstone",42,16,"38.10"
"Dani","Sentinels (si)","Omen",21,8,"38.10"
"trent","The Guard","Breach",21,8,"38.10"
"SSeeS","DetonatioN Gaming White (ex)","Sage",21,8,"38.10"
"JitboyS","FW Esports (ex)","Killjoy",21,8,"38.10"
"munghoon","VPZ","Chamber",21,8,"38.10"
"Ask","Reignite","Breach",21,8,"38.10"
"nAts","M3 Champions (ex)","Omen",42,16,"38.10"
"Rb","DRX","Astra",21,8,"38.10"
"something","Sengoku Gaming","Jett",21,8,"38.10"
"disk0","ORDER (ex)","Breach",21,8,"38.10"
"d4v41","Paper Rex","Killjoy",21,8,"38.10"
"CHICHOO","EDward Gaming","Omen",21,8,"38.10"
"eKo","Reignite (ex)","Fade",21,8,"38.10"
"Poach","FaZe Clan (ex)","Sova",21,8,"38.10"
"vanity","Cloud9","Fade",21,8,"38.10"
"Foxy9","Reignite (ex)","Raze",21,8,"38.10"
"Rawkus","Sentinels (ex)","Sova",21,8,"38.10"
"Frosty","Knights (ex)","KAY/O",21,8,"38.10"
"Shiroe","Mariner","KAY/O",21,8,"38.10"
"CyderX","SuperMassive (ex)","Skye",42,16,"38.10"
"Moose","Luminosity Gaming (ex)","Killjoy",21,8,"38.10"
"ParkJJong","Team GP (ex)","Skye",21,8,"38.10"
"Xandrite","NORTHEPTION (ex)","Killjoy",21,8,"38.10"
"DippER","VPZ (ex)","Breach",21,8,"38.10"
"Johnqt","Ghost Gaming (ex)","KAY/O",21,8,"38.10"
"adrnking","Alter Ego","Reyna",21,8,"38.10"
"invy","Oasis Gaming (ex)","Sage",21,8,"38.10"
"Bazzi","On Sla2ers (ex)","Reyna",21,8,"38.10"
"Xeppaa","Cloud9","Raze",63,24,"38.10"
"BuZz","DRX","Brimstone",21,8,"38.10"
"flainzz","Stars Horizon","Killjoy",21,8,"38.10"
"Frosty","Knights (ex)","Astra",21,8,"38.10"
"keloqz","G2 Esports (Inactive) (ex)","Jett",21,8,"38.10"
"SID","VPZ","Raze",21,8,"38.10"
"Zerost","Sengoku Gaming","Killjoy",21,8,"38.10"
"Phantom","FAV gaming","Breach",21,8,"38.10"
"Lok1","CERBERUS Esports (ex)","Omen",21,8,"38.10"
"brawk","Ghost Gaming (ex)","Fade",21,8,"38.10"
"mada","Shopify Rebellion","Yoru",21,8,"38.10"
"ZmjjKK","EDward Gaming","Chamber",21,8,"38.10"
"coco","Oasis Gaming","Viper",21,8,"38.10"
"jfoen","E-Xolos LAZER","Skye",21,8,"38.10"
"XiSTOU","SuperMassive (ex)","Viper",42,16,"38.10"
"Puupop","Mariner","Chamber",21,8,"38.10"
"Solution","FUSION (ex)","Chamber",21,8,"38.10"
"iRdy","World Game Star","Skye",63,24,"38.10"
"Brofeld","Jadeite","Cypher",21,8,"38.10"
"Frosty","Knights (ex)","Killjoy",21,8,"38.10"
"XXiF","Knights (ex)","Neon",21,8,"38.10"
"f1cio","Fancy United Esports","Neon",21,8,"38.10"
"ShahZaM","Sentinels (ex)","Jett",21,8,"38.10"
"Shanks","Rise (ex)","Chamber",21,8,"38.10"
"frostmind","BOOM Esports (ex)","Omen",21,8,"38.10"
"HellFull","FUSION (ex)","Viper",21,8,"38.10"
"azys","South Built Esports (ex)","KAY/O",21,8,"38.10"
"allow","Jadeite (ex)","Raze",21,8,"38.10"
"v1xen","Ninjas in Pyjamas (ex)","Omen",21,8,"38.10"
"Feniz","E-Xolos LAZER","Viper",21,8,"38.10"
"PapiChulo","South Built Esports (ex)","Cypher",21,8,"38.10"
"fenNy","SunXet Club","Chamber",21,8,"38.10"
"takej","REJECT (ex)","Killjoy",21,8,"38.10"
"bezn1","Ninjas in Pyjamas (ex)","Breach",21,8,"38.10"
"GodDead","On Sla2ers","Neon",21,8,"38.10"
"Delta","Maru Gaming (ex)","Skye",92,35,"38.04"
"AYRIN","XSET (ex)","Brimstone",50,19,"38.00"
"Tio","Movistar Optix","Chamber",79,30,"37.97"
"dapr","Sentinels (ex)","Sage",87,33,"37.93"
"kellyS","Rex Regum Qeon (ex)","Raze",45,17,"37.78"
"leaf","Cloud9","Jett",64,24,"37.50"
"Mizu","9z Team","Chamber",115,43,"37.39"
"Fross","SunXet Club","Astra",83,31,"37.35"
"Brave","SuperMassive (ex)","Sage",43,16,"37.21"
"rion","Crazy Raccoon","Omen",62,23,"37.10"
"Kadoom","Made in Thailand","Chamber",62,23,"37.10"
"adrnking","Alter Ego","KAY/O",62,23,"37.10"
"ScreaM","Team Liquid (ex)","Jett",65,24,"36.92"
"Foxy9","Reignite (ex)","Jett",82,30,"36.59"
"Feniz","E-Xolos LAZER","KAY/O",41,15,"36.59"
"Minty","FAV gaming","Cypher",41,15,"36.59"
"NakJi","Maru Gaming (ex)","Sage",41,15,"36.59"
"Dobsha","E-Xolos LAZER (ex)","Raze",41,15,"36.59"
"Dhimorutoo","Reignite (ex)","Omen",41,15,"36.59"
"glym","Liberty (ex)","Omen",41,15,"36.59"
"iRdy","World Game Star","Fade",82,30,"36.59"
"SUTHER","9z Team (ex)","Raze",41,15,"36.59"
"flainzz","INGAMING Esports (ex)","Cypher",41,15,"36.59"
"SyouTa","Crest Gaming ZST (ex)","Astra",41,15,"36.59"
"pr0xy","Spear Gaming (ex)","Chamber",102,37,"36.27"
"Xdll","BLUE BEES.ESP (ex)","Fade",61,22,"36.07"
"Wavy","CNJ Esports","Skye",61,22,"36.07"
"Kaspe","BIG (ex)","Cypher",61,22,"36.07"
"YESicaN","Fancy United Esports","Astra",61,22,"36.07"
"maxie","Bleed Esports (ex)","Viper",78,28,"35.90"
"D1E","Meta Gaming (ex)","Chamber",81,29,"35.80"
"allow","Jadeite (ex)","Jett",42,15,"35.71"
"Puleule","9z Team","Breach",42,15,"35.71"
"hellff","Velocity Gaming","Killjoy",42,15,"35.71"
"Klaus","KRÜ Esports","KAY/O",20,7,"35.00"
"SiuFatBB","Griffin E-Sports","Skye",20,7,"35.00"
"HANN","World Game Star","Raze",60,21,"35.00"
"keznit","KRÜ Esports (ex)","Fade",20,7,"35.00"
"Brofeld","Jadeite","Fade",20,7,"35.00"
"Ssun","Spear Gaming (ex)","Chamber",20,7,"35.00"
"H1K","SchwarzerLand","Reyna",20,7,"35.00"
"KappA","Global Esports","Sage",20,7,"35.00"
"STYRON","Gaimin Gladiators (ex)","Fade",20,7,"35.00"
"SugarZ3ro","ZETA DIVISION","Omen",40,14,"35.00"
"gustt1nha","Los Grandes (ex)","Sova",20,7,"35.00"
"rion","Crazy Raccoon","Viper",20,7,"35.00"
"SylFy","Jadeite (ex)","Brimstone",20,7,"35.00"
"Kr1stal","BLUE BEES.ESP (ex)","Breach",20,7,"35.00"
"GodDead","On Sla2ers (si)","Jett",20,7,"35.00"
"blaZek1ng","BOOM Esports","Sova",40,14,"35.00"
"Dcop","FUSION","Raze",20,7,"35.00"
"deigara","9z Team","Sova",20,7,"35.00"
"Rawkus","Sentinels (ex)","Omen",20,7,"35.00"
"Ran","SETOUCHI ENLIFE (ex)","Killjoy",20,7,"35.00"
"大西大和","SETOUCHI ENLIFE (ex)","Skye",20,7,"35.00"
"Rainy","Griffin E-Sports","Sage",60,21,"35.00"
"tex","NRG Esports (ex)","Reyna",20,7,"35.00"
"QutionerX","BBL Esports","Jett",40,14,"35.00"
"Quick","FURIA","Jett",20,7,"35.00"
"DeNaro","MIBR (ex)","Fade",20,7,"35.00"
"Puleule","9z Team","Brimstone",20,7,"35.00"
"Torrify","FUSION (ex)","Chamber",20,7,"35.00"
"JUGi","FOKUS","Reyna",20,7,"35.00"
"badsitoww","Meta Gaming (ex)","KAY/O",20,7,"35.00"
"Lawrence","GoNGo Prince","Breach",20,7,"35.00"
"dgzin","FURIA","KAY/O",20,7,"35.00"
"Peloncito","E-Xolos LAZER","Fade",100,35,"35.00"
"PADO","Veronica7 (ex)","Sage",40,14,"35.00"
"AztKk","FUSION (ex)","Skye",20,7,"35.00"
"leaf","Cloud9","Breach",20,7,"35.00"
"AYRIN","XSET (ex)","Cypher",20,7,"35.00"
"Nozwerr","FURIA (ex)","Skye",20,7,"35.00"
"DippER","VPZ (ex)","Killjoy",20,7,"35.00"
"Leo","Guild Esports (ex)","Reyna",20,7,"35.00"
"Genghsta","Knights (ex)","Sova",60,21,"35.00"
"asteriskk","Persija Esports","Omen",20,7,"35.00"
"neth","Crazy Raccoon","Raze",60,21,"35.00"
"vow","Team T5 (ex)","Sage",20,7,"35.00"
"AslaN","BIG (ex)","Chamber",20,7,"35.00"
"myssen","Liberty","Cypher",40,14,"35.00"
"Izzy","SuperMassive","Jett",20,7,"35.00"
"Lightningfast","Global Esports","Raze",20,7,"35.00"
"munghoon","VPZ","Skye",20,7,"35.00"
"Eliza","GoNGo Prince (ex)","Astra",20,7,"35.00"
"ardiis","FunPlus Phoenix (ex)","Cypher",20,7,"35.00"
"Anker","Jadeite (ex)","Breach",20,7,"35.00"
"xeta","Cloud9 (ex)","Sova",20,7,"35.00"
"jfoen","E-Xolos LAZER","Omen",40,14,"35.00"
"Ludens","K2 eSports (ex)","KAY/O",20,7,"35.00"
"Mistic","FNATIC (ex)","Brimstone",20,7,"35.00"
"Famouz","Persija Esports (ex)","Jett",20,7,"35.00"
"allow","Jadeite (ex)","Yoru",20,7,"35.00"
"YRSelect","Griffin E-Sports (si)","Brimstone",20,7,"35.00"
"iluri","FOKUS (ex)","Sage",20,7,"35.00"
"mada","Luminosity Gaming (ex)","Reyna",20,7,"35.00"
"aimDLL","BBL Esports","Killjoy",40,14,"35.00"
"Flynch","Persija Esports (ex)","Breach",20,7,"35.00"
"invy","Oasis Gaming (ex)","KAY/O",20,7,"35.00"
"MAGNUM","FNATIC (ex)","Cypher",20,7,"35.00"
"Marved","OpTic Gaming","Breach",20,7,"35.00"
"chase","Gamelanders Blue (ex)","Fade",43,15,"34.88"
"YESicaN","Fancy United Esports","Skye",79,27,"34.18"
"Brofeld","Hexad (ex)","Chamber",53,18,"33.96"
"kurozooted","Reignite","KAY/O",59,20,"33.90"
"C0M","Evil Geniuses","Breach",59,20,"33.90"
"Harry","HolyMolly","Killjoy",39,13,"33.33"
"nobody","EDward Gaming","Fade",39,13,"33.33"
"bucher","FOKUS (ex)","Cypher",60,20,"33.33"
"poised","FaZe Clan","Fade",39,13,"33.33"
"dazzLe","Luminosity Gaming (ex)","Sova",39,13,"33.33"
"Haodong","EDward Gaming","Breach",39,13,"33.33"
"Kush","Alter Ego","Sova",39,13,"33.33"
"nephh","Gaimin Gladiators (ex)","Yoru",39,13,"33.33"
"bmVz","Fancy United Esports (ex)","Breach",117,39,"33.33"
"MOLSI","OG LDN UTD (ex)","KAY/O",78,26,"33.33"
"feqew","LDN UTD (ex)","Jett",39,13,"33.33"
"Glovee","SuperMassive (ex)","Astra",39,13,"33.33"
"Sơn KeKe","Fancy United Esports (ex)","Astra",39,13,"33.33"
"Wavy","CNJ Esports","KAY/O",39,13,"33.33"
"YaBoiLewis","FOKUS","Raze",40,13,"32.50"
"Ethan","NRG Esports (ex)","Breach",77,25,"32.47"
"Ludens","K2 eSports (ex)","Raze",19,6,"31.58"
"Alex","Next eSports (ex)","KAY/O",19,6,"31.58"
"Mited","FUSION","Skye",19,6,"31.58"
"mnz","IXA","Breach",19,6,"31.58"
"zeek","Acend (ex)","Skye",38,12,"31.58"
"rubkkoide","PAMPAS (ex)","Breach",38,12,"31.58"
"ANGE1","FunPlus Phoenix (ex)","Breach",19,6,"31.58"
"feqew","OG LDN UTD (ex)","Jett",38,12,"31.58"
"LOB","FAV gaming","Cypher",19,6,"31.58"
"Purp0","Acend (si)","KAY/O",19,6,"31.58"
"LOB","FAV gaming","Breach",19,6,"31.58"
"Bangnan","DAMWON Gaming (ex)","Sage",19,6,"31.58"
"Luna","IXA","Chamber",19,6,"31.58"
"redwater877","Team T5","Skye",19,6,"31.58"
"7ssk7","Natus Vincere (ex)","Raze",19,6,"31.58"
"Eliza","GoNGo Prince (ex)","Viper",19,6,"31.58"
"JinboongE","HolyMolly (ex)","Sage",19,6,"31.58"
"JinboongE","HolyMolly (ex)","Jett",19,6,"31.58"
"artzin","Stars Horizon (ex)","Neon",57,18,"31.58"
"Wenty","GoNGo Prince (ex)","Raze",19,6,"31.58"
"takej","REJECT (ex)","Viper",19,6,"31.58"
"DxN","No Namers (ex)","Chamber",19,6,"31.58"
"flainzz","INGAMING Esports (ex)","Killjoy",19,6,"31.58"
"Medusa","REJECT (ex)","KAY/O",19,6,"31.58"
"NoriseN","REJECT (ex)","Sage",19,6,"31.58"
"zepher","REJECT (ex)","Raze",19,6,"31.58"
"pAura","BBL Esports (ex)","Sage",19,6,"31.58"
"skuba","Knights (ex)","Omen",19,6,"31.58"
"B1ngSu","Veronica7","Cypher",38,12,"31.58"
"ParkJJong","Tartarus (ex)","Sova",19,6,"31.58"
"Twisten","BIG (ex)","Jett",38,12,"31.58"
"CTC","Los Grandes (ex)","Fade",19,6,"31.58"
"C1nder","SCARZ (ex)","Killjoy",19,6,"31.58"
"Minty","FAV gaming","Sage",19,6,"31.58"
"Suka","Fancy United Esports (ex)","KAY/O",38,12,"31.58"
"crws","XERXIA Esports (ex)","Omen",19,6,"31.58"
"Reita","REJECT (ex)","Raze",19,6,"31.58"
"Dcop","FUSION","Viper",19,6,"31.58"
"swag","Team Vikings (ex)","Killjoy",57,18,"31.58"
"Sayaplayer","The Guard (ex)","Chamber",19,6,"31.58"
"Lumo","Insomnia (ex)","Skye",19,6,"31.58"
"BORKUM","Team Secret","Astra",38,12,"31.58"
"Harry","Brimstone (si)","Chamber",19,6,"31.58"
"JREXXX","Insomnia (ex)","Raze",19,6,"31.58"
"NcSlasher","Onic Esports (ex)","Omen",38,12,"31.58"
"poised","Rise (ex)","Chamber",19,6,"31.58"
"s0m","NRG Esports","Jett",38,12,"31.58"
"neT","The Guard","Chamber",19,6,"31.58"
"pleets","Los Grandes","Cypher",19,6,"31.58"
"zepher","REJECT (ex)","Skye",19,6,"31.58"
"disk0","ORDER (ex)","Skye",19,6,"31.58"
"flainzz","Stars Horizon","Cypher",75,23,"30.67"
"Marky","Oasis Gaming","Raze",56,17,"30.36"
"cauanzin","Ninjas in Pyjamas (ex)","Skye",56,17,"30.36"
"Medusa","REJECT (ex)","Chamber",37,11,"29.73"
"Kant","VPZ (ex)","Reyna",74,22,"29.73"
"Xander","FUSION","Killjoy",37,11,"29.73"
"L1NK","Acend (ex)","Brimstone",37,11,"29.73"
"Ethan","100 Thieves (ex)","Skye",55,16,"29.09"
"Hate","Jadeite (ex)","Killjoy",18,5,"27.78"
"Felix","HolyMolly (ex)","Breach",36,10,"27.78"
"Redneval","CERBERUS Esports (ex)","Jett",36,10,"27.78"
"Dcop","FUSION","Sova",18,5,"27.78"
"tehbotol","BOOM Esports (ex)","Brimstone",18,5,"27.78"
"kurozooted","Reignite","Cypher",18,5,"27.78"
"raafa","Liberty (ex)","Fade",18,5,"27.78"
"pyth","Bleed Esports (ex)","Brimstone",36,10,"27.78"
"ClarK","World Game Star (ex)","Jett",18,5,"27.78"
"akashi","CERBERUS Esports (ex)","Sova",36,10,"27.78"
"pr0xy","Spear Gaming (ex)","Omen",18,5,"27.78"
"ban","Knights (ex)","Skye",18,5,"27.78"
"Deryeon","Bleed Esports (ex)","Raze",18,5,"27.78"
"pAura","BBL Esports (ex)","KAY/O",18,5,"27.78"
"dgzin","Gamelanders Blue (ex)","Chamber",18,5,"27.78"
"CHICHOO","EDward Gaming","Astra",18,5,"27.78"
"gio","Movistar Optix","Fade",18,5,"27.78"
"vanity","Cloud9","Sova",18,5,"27.78"
"gio","Movistar Optix","Skye",54,15,"27.78"
"mada","Luminosity Gaming (ex)","KAY/O",18,5,"27.78"
"disk0","ORDER (ex)","Killjoy",18,5,"27.78"
"Vici","Sengoku Gaming","Reyna",36,10,"27.78"
"AsLanM4shadoW","BBL Esports","Neon",18,5,"27.78"
"Dszera","Team Vikings (ex)","Sage",36,10,"27.78"
"LEXY","Bleed Esports (ex)","Neon",18,5,"27.78"
"eKo","Reignite (ex)","Breach",18,5,"27.78"
"musashi","BIG (ex)","Sova",18,5,"27.78"
"hyouka","Reignite","Killjoy",18,5,"27.78"
"eKo","Reignite (ex)","Sage",18,5,"27.78"
"frz","MIBR","Sage",18,5,"27.78"
"Anker","Jadeite (ex)","Skye",18,5,"27.78"
"Marmelo","Jadeite","Breach",18,5,"27.78"
"flyuh","FaZe Clan (ex)","Sage",18,5,"27.78"
"YaBoiDre","Evil Geniuses (ex)","Sova",18,5,"27.78"
"Misaya","Sengoku Gaming","Breach",18,5,"27.78"
"Klaus","KRÜ Esports","Killjoy",18,5,"27.78"
"crashies","OpTic Gaming (ex)","Viper",18,5,"27.78"
"Secret","Desperado (ex)","Sage",18,5,"27.78"
"BORKUM","Team Secret","Brimstone",18,5,"27.78"
"SamuraiDeeper","Crest Gaming ZST (ex)","Sage",18,5,"27.78"
"Harry","HolyMolly","Sova",18,5,"27.78"
"SungJin","Spear Gaming (ex)","Chamber",18,5,"27.78"
"KAMEReon","AWS (ex)","Cypher",18,5,"27.78"
"Kakarot","NAOS Esports","Reyna",18,5,"27.78"
"GwangUh","Tartarus (ex)","KAY/O",36,10,"27.78"
"cNed","Acend (ex)","KAY/O",18,5,"27.78"
"D1E","Movistar Optix","Cypher",36,10,"27.78"
"Starxo","Acend","Skye",36,10,"27.78"
"PADO","Veronica7 (ex)","Skye",35,9,"25.71"
"Harry","HolyMolly","Chamber",35,9,"25.71"
"pouoxo","TRIDENT (ex)","Skye",35,9,"25.71"
"Yso","TRIDENT (ex)","Chamber",35,9,"25.71"
"Misaya","Sengoku Gaming","Skye",35,9,"25.71"
"Boostio","Evil Geniuses","Skye",35,9,"25.71"
"10X","HolyMolly (ex)","Neon",35,9,"25.71"
"Addicted","Sharks Esports (ex)","Viper",17,4,"23.53"
"BandiCoot","E-Xolos LAZER","Brimstone",17,4,"23.53"
"s0m","NRG Esports","Neon",17,4,"23.53"
"Nexi","Rex Regum Qeon (ex)","Chamber",17,4,"23.53"
"gio","Movistar Optix","Sage",17,4,"23.53"
"Draxii","Rex Regum Qeon (ex)","Breach",17,4,"23.53"
"gob b","BIG (ex)","Sova",17,4,"23.53"
"NeruFi","Crest Gaming ZST","Killjoy",17,4,"23.53"
"Dszera","Team Vikings (ex)","Breach",17,4,"23.53"
"CyderX","SuperMassive (ex)","Sova",17,4,"23.53"
"foxz","XERXIA Esports (ex)","Jett",17,4,"23.53"
"dzii","Gaimin Gladiators (ex)","Jett",17,4,"23.53"
"SicK","Sentinels (ex)","Astra",17,4,"23.53"
"Toto","GyoGun","Viper",17,4,"23.53"
"NagZ","KRÜ Esports","Killjoy",17,4,"23.53"
"pr0xy","Spear Gaming (ex)","Astra",17,4,"23.53"
"Wenty","GoNGo Prince (ex)","Cypher",17,4,"23.53"
"mwzera","Keyd Stars (ex)","Sova",17,4,"23.53"
"Redgar","M3 Champions","Fade",34,8,"23.53"
"Shanks","Rise (ex)","Jett",17,4,"23.53"
