"Ign","Team","Agent","Rounds","Wins","Percentage"
"NagZ","KRÜ Esports","Sage",118,68,"57.63"
"WIX","Maru Gaming (ex)","Viper",59,34,"57.63"
"Mazino","KRÜ Esports (ex)","Fade",184,106,"57.61"
"Boaster","FNATIC","Breach",40,23,"57.50"
"xand","Ninjas in Pyjamas (ex)","Jett",200,115,"57.50"
"lukzera","TBK Esports","Brimstone",40,23,"57.50"
"BuZz","DRX","Killjoy",200,115,"57.50"
"xnfri","NORTHEPTION (ex)","Chamber",127,73,"57.48"
"crws","XERXIA Esports (ex)","Sage",94,54,"57.45"
"JhoW","Keyd Stars (ex)","Cypher",68,39,"57.35"
"Esperanza","DAMWON Gaming","Sage",131,75,"57.25"
"k1Ng","On Sla2ers (ex)","Cypher",145,83,"57.24"
"Benkai","Paper Rex","Sova",42,24,"57.14"
"ardiis","FunPlus Phoenix (ex)","KAY/O",273,156,"57.14"
"Victor","OpTic Gaming (ex)","Yoru",42,24,"57.14"
"crow","ZETA DIVISION","Skye",205,117,"57.07"
"trexx","Guild Esports","Cypher",149,85,"57.05"
"BerserX","BOOM Esports","Jett",93,53,"56.99"
"keznit","KRÜ Esports (ex)","Neon",132,75,"56.82"
"Less","LOUD","Cypher",74,42,"56.76"
"Laz","ZETA DIVISION","Viper",208,118,"56.73"
"Witz","Team Secret (ex)","Jett",104,59,"56.73"
"tuyz","TBK Esports (ex)","Neon",67,38,"56.72"
"AYRIN","XSET (ex)","Viper",157,89,"56.69"
"GODLIKE","World Game Star (ex)","Skye",76,43,"56.58"
"mixwell","G2 Esports (Inactive) (ex)","Chamber",419,237,"56.56"
"mixwell","G2 Esports (Inactive) (ex)","Skye",23,13,"56.52"
"JitboyS","FW Esports (ex)","Fade",23,13,"56.52"
"DaeGi","Team GP (ex)","Jett",23,13,"56.52"
"RgLMeister","Keyd Stars (ex)","Omen",23,13,"56.52"
"bmVz","Fancy United Esports (ex)","Cypher",23,13,"56.52"
"Retla","Bleed Esports (ex)","Sage",23,13,"56.52"
"AlKawai","Insomnia (ex)","Brimstone",23,13,"56.52"
"godko","Desperado (ex)","Cypher",23,13,"56.52"
"krain","Liberty","Omen",23,13,"56.52"
"Delz1k","KRÜ Esports (ex)","Sova",23,13,"56.52"
"BerserX","BOOM Esports","Skye",23,13,"56.52"
"Has1ra14","Maru Gaming (ex)","Sage",23,13,"56.52"
"Johnqt","Ghost Gaming (ex)","Chamber",46,26,"56.52"
"gob b","BIG (ex)","Breach",23,13,"56.52"
"Zerost","BLUE BEES.ESP (ex)","Viper",23,13,"56.52"
"Derialy","FENNEL (ex)","Sova",23,13,"56.52"
"Shao","FunPlus Phoenix (ex)","Fade",460,260,"56.52"
"Derrek","100 Thieves","Breach",23,13,"56.52"
"leaf","Cloud9","Chamber",23,13,"56.52"
"poem","IGZIST","Skye",23,13,"56.52"
"jotinha","SunXet Club (ex)","Killjoy",23,13,"56.52"
"pdr","INGAMING Esports (ex)","Breach",23,13,"56.52"
"vakk","Acend","Sage",23,13,"56.52"
"skrawl","Bonkers(OCE) (ex)","Sova",23,13,"56.52"
"frz","Sharks Esports (ex)","Chamber",23,13,"56.52"
"Lumo","Insomnia (ex)","KAY/O",23,13,"56.52"
"Hoody","G2 Esports (Inactive) (ex)","Jett",23,13,"56.52"
"Duno","Natus Vincere (ex)","Astra",23,13,"56.52"
"Apinya","FW Esports (ex)","Brimstone",23,13,"56.52"
"myssen","Liberty","Sage",23,13,"56.52"
"fenNy","SunXet Club","Jett",23,13,"56.52"
"Brave","SuperMassive (ex)","Breach",23,13,"56.52"
"Meiy","Crazy Raccoon","Raze",23,13,"56.52"
"EndU","Team GP","Killjoy",23,13,"56.52"
"mazin","FURIA","KAY/O",46,26,"56.52"
"W1nner","Griffin E-Sports","Astra",23,13,"56.52"
"Minty","FAV gaming","KAY/O",23,13,"56.52"
"fl1pzjder","BOOM Esports (ex)","KAY/O",69,39,"56.52"
"ExiA","Spear Gaming","Sova",46,26,"56.52"
"FNS","OpTic Gaming (ex)","Sage",62,35,"56.45"
"Felix","HolyMolly (ex)","Omen",39,22,"56.41"
"Nivera","Team Liquid (ex)","Chamber",144,81,"56.25"
"MONSTEERR","Acend (ex)","Cypher",48,27,"56.25"
"crashies","OpTic Gaming (ex)","Fade",89,50,"56.18"
"Marved","OpTic Gaming","Brimstone",387,217,"56.07"
"MOLSI","OG LDN UTD (ex)","Raze",66,37,"56.06"
"ExiA","Spear Gaming","Fade",66,37,"56.06"
"Ethan","NRG Esports (ex)","KAY/O",109,61,"55.96"
"mindfreak","Paper Rex","Brimstone",84,47,"55.95"
"Meddo","G2 Esports (Inactive) (ex)","Viper",59,33,"55.93"
"vow","Team T5 (ex)","Viper",59,33,"55.93"
"TORANECO","Hexad (ex)","Killjoy",34,19,"55.88"
"Brofeld","Hexad (ex)","Reyna",34,19,"55.88"
"bezn1","Ninjas in Pyjamas (ex)","Cypher",342,191,"55.85"
"L1NK","Team Liquid (ex)","Omen",77,43,"55.84"
"neth","Crazy Raccoon","Killjoy",120,67,"55.83"
"JoXJo","NORTHEPTION (ex)","Skye",43,24,"55.81"
"Zerost","BLUE BEES.ESP (ex)","Cypher",43,24,"55.81"
"dgzin","Gamelanders Blue (ex)","Neon",43,24,"55.81"
"trexx","Guild Esports","Jett",43,24,"55.81"
"Russ","Guild Esports (ex)","Breach",43,24,"55.81"
"cauanzin","Ninjas in Pyjamas (ex)","KAY/O",242,135,"55.79"
"crashies","OpTic Gaming (ex)","KAY/O",466,260,"55.79"
"kiNgg","Leviatán","Breach",104,58,"55.77"
"BcJ","XSET (ex)","Skye",226,126,"55.75"
"d3ffo","M3 Champions (ex)","Neon",61,34,"55.74"
"Sacy","LOUD (ex)","Fade",210,117,"55.71"
"oitaN","IGZIST","Chamber",124,69,"55.65"
"nAts","M3 Champions (ex)","Viper",142,79,"55.63"
"nAts","M3 Champions (ex)","Viper",142,79,"55.63"
"AYRIN","XSET (ex)","Astra",63,35,"55.56"
"crow","ZETA DIVISION","Fade",81,45,"55.56"
"vaiZ","Leviatán (ex)","KAY/O",63,35,"55.56"
"THEE","FULL SENSE","Chamber",92,51,"55.43"
"cauanzin","Ninjas in Pyjamas (ex)","Sova",159,88,"55.35"
"Harry","Brimstone (si)","Viper",47,26,"55.32"
"BcJ","XSET (ex)","Fade",47,26,"55.32"
"Shao","FunPlus Phoenix (ex)","Jett",47,26,"55.32"
"10X","Brimstone (si)","Raze",47,26,"55.32"
