,Ign,Team,Acs,Matches_x,Headshot %,Bodyshot %,Legshot %,Matches_y,Clutches,Clutch Failures,Damage,Defusals,Headshots,Kills,Deaths,Assists,Kd,Multikills,Plants,Spend,Player Id
146,Zellsis,Sentinels (ex),220.0,8.0,24.21,70.6,5.17,8.0,3.0,18.0,30261.0,9.0,131.0,152.0,151.0,84.0,1.01,37.0,9.0,591150.0,440
147,Zellsis,Version1 (Inactive) (ex),211.0,21.0,17.7,69.83,12.45,21.0,5.0,22.0,59113.0,15.0,216.0,316.0,297.0,191.0,1.06,78.0,41.0,1120200.0,440
148,MaKo,DRX,220.0,91.0,25.03,68.41,6.54,91.0,38.0,182.0,263152.0,33.0,1097.0,1394.0,1089.0,811.0,1.28,342.0,123.0,4317250.0,452
149,Leo,Guild Esports (ex),220.0,54.0,22.5,69.44,8.05,54.0,18.0,154.0,171933.0,30.0,648.0,903.0,751.0,392.0,1.2,221.0,51.0,3019500.0,14872
150,Leo,SYSTEM e-Sports,97.0,2.0,35.71,64.28,0.0,2.0,0.0,7.0,1852.0,1.0,10.0,9.0,27.0,2.0,0.33,1.0,2.0,66700.0,14872
151,DaeGi,Tartarus (ex),219.0,16.0,28.67,66.95,4.37,14.0,3.0,24.0,38106.0,5.0,164.0,202.0,213.0,41.0,0.95,44.0,1.0,660200.0,745
152,Has1ra14,Maru Gaming (ex),219.0,4.0,20.19,75.36,4.43,4.0,2.0,5.0,11174.0,3.0,41.0,62.0,43.0,37.0,1.44,19.0,10.0,177050.0,6738
153,Has1ra14,CNJ Esports,199.0,18.0,23.45,71.34,5.19,18.0,3.0,64.0,49537.0,10.0,212.0,265.0,264.0,114.0,1.0,68.0,7.0,974400.0,6738
154,Kishi,CERBERUS Esports (ex),219.0,15.0,28.35,65.83,5.8,15.0,4.0,28.0,42749.0,7.0,171.0,234.0,222.0,55.0,1.05,60.0,22.0,702600.0,917
155,Hoody,G2 Esports (Inactive) (ex),219.0,57.0,26.61,66.26,7.11,57.0,13.0,82.0,171614.0,24.0,733.0,911.0,876.0,415.0,1.04,237.0,160.0,3227900.0,2594
156,kon4n,TBK Esports (ex),219.0,38.0,23.86,69.24,6.88,38.0,16.0,66.0,120446.0,29.0,485.0,641.0,588.0,231.0,1.09,172.0,54.0,2239950.0,2366
157,Izzy,SuperMassive,218.0,11.0,23.71,70.51,5.76,11.0,1.0,26.0,33859.0,3.0,111.0,185.0,187.0,38.0,0.99,52.0,3.0,618450.0,9640
158,takej,REJECT (ex),218.0,31.0,32.28,61.1,6.61,31.0,16.0,54.0,86712.0,13.0,410.0,475.0,405.0,183.0,1.17,111.0,32.0,1520100.0,2791
159,tuyz,TBK Esports (ex),218.0,38.0,25.59,70.1,4.3,38.0,6.0,58.0,114445.0,8.0,422.0,644.0,600.0,137.0,1.07,167.0,19.0,2141550.0,1506
160,Nozz,Bonkers(OCE) (ex),218.0,8.0,15.68,77.69,6.61,8.0,1.0,15.0,26319.0,1.0,83.0,127.0,134.0,56.0,0.95,33.0,4.0,484250.0,943
161,Fross,SunXet Club,218.0,11.0,28.23,63.33,8.43,11.0,5.0,27.0,32430.0,4.0,144.0,173.0,175.0,54.0,0.99,41.0,39.0,600600.0,3458
162,frz,MIBR,218.0,17.0,23.87,72.03,4.09,17.0,6.0,53.0,53722.0,7.0,169.0,297.0,235.0,72.0,1.26,77.0,5.0,895400.0,1877
163,frz,Sharks Esports (ex),191.0,9.0,29.25,67.86,2.87,9.0,4.0,26.0,24964.0,3.0,122.0,127.0,127.0,38.0,1.0,24.0,10.0,464250.0,1877
164,Zyppan,FunPlus Phoenix (ex),217.0,95.0,27.05,66.75,6.19,95.0,25.0,117.0,290531.0,41.0,1187.0,1510.0,1439.0,559.0,1.05,393.0,91.0,5238600.0,1256
165,Boostio,Evil Geniuses,217.0,35.0,26.69,68.36,4.94,35.0,6.0,77.0,111152.0,9.0,394.0,594.0,590.0,138.0,1.01,158.0,21.0,2028700.0,1023
166,s0m,NRG Esports,217.0,39.0,25.53,69.76,4.69,39.0,9.0,58.0,117654.0,16.0,473.0,635.0,628.0,188.0,1.01,163.0,35.0,2233750.0,165
167,NAOS JA,South Built Esports (ex),217.0,11.0,26.26,70.1,3.63,11.0,5.0,25.0,32477.0,4.0,130.0,180.0,165.0,64.0,1.09,49.0,7.0,567600.0,13562
168,trent,The Guard,217.0,55.0,31.23,62.34,6.41,55.0,24.0,123.0,164211.0,43.0,774.0,876.0,761.0,321.0,1.15,214.0,68.0,2805050.0,11412
169,CTC,Los Grandes (ex),217.0,19.0,17.78,76.26,5.95,19.0,10.0,34.0,54957.0,8.0,215.0,295.0,284.0,86.0,1.04,70.0,10.0,1040350.0,4770
170,Secret,Desperado (ex),217.0,21.0,19.94,71.8,8.25,21.0,4.0,44.0,62656.0,14.0,268.0,311.0,334.0,134.0,0.93,83.0,38.0,1127650.0,25039
171,KILLDREAMST,Sharks Esports (ex),216.0,9.0,22.99,71.09,5.9,9.0,1.0,19.0,27437.0,3.0,109.0,143.0,138.0,65.0,1.04,35.0,6.0,484000.0,4688
172,zennakukinn,BLUE BEES.ESP (ex),216.0,13.0,29.04,65.07,5.87,13.0,7.0,23.0,40461.0,8.0,183.0,200.0,196.0,100.0,1.02,55.0,23.0,737750.0,3966
173,Kiuuuu,Oblivion Force,216.0,4.0,27.51,68.12,4.36,4.0,0.0,11.0,12733.0,1.0,63.0,67.0,71.0,11.0,0.94,14.0,1.0,230400.0,23613
174,Quick,FURIA,216.0,49.0,25.33,69.32,5.34,49.0,17.0,59.0,150044.0,19.0,531.0,825.0,783.0,166.0,1.05,214.0,32.0,2653150.0,2971
175,gMd,TSM (ex),215.0,10.0,32.18,61.53,6.27,10.0,1.0,22.0,33055.0,2.0,159.0,176.0,162.0,65.0,1.09,45.0,13.0,602000.0,2098
176,7ssk7,Natus Vincere (ex),215.0,35.0,22.74,70.64,6.61,35.0,17.0,80.0,108617.0,11.0,375.0,594.0,538.0,112.0,1.1,153.0,19.0,1839600.0,999
177,koalanoob,Ghost Gaming (ex),215.0,15.0,29.96,66.6,3.43,15.0,2.0,18.0,44107.0,3.0,157.0,248.0,232.0,41.0,1.07,70.0,3.0,822550.0,3016
178,ringring,CNJ Esports,214.0,6.0,30.86,63.91,5.21,6.0,3.0,7.0,17388.0,4.0,71.0,93.0,90.0,32.0,1.03,29.0,3.0,331500.0,5737
179,BRNWOWZK1,INGAMING Esports (ex),214.0,9.0,22.94,71.32,5.73,9.0,1.0,11.0,27737.0,4.0,92.0,146.0,153.0,29.0,0.95,38.0,7.0,538450.0,462
180,Mazino,KRÜ Esports (ex),214.0,73.0,24.56,68.81,6.62,73.0,24.0,101.0,210075.0,31.0,905.0,1129.0,1042.0,520.0,1.08,284.0,168.0,3962600.0,4710
181,azys,South Built Esports (ex),214.0,11.0,30.32,65.93,3.73,11.0,3.0,8.0,32805.0,3.0,138.0,179.0,167.0,36.0,1.07,48.0,2.0,582600.0,13563
182,Flynch,Persija Esports (ex),214.0,16.0,23.06,70.23,6.7,16.0,5.0,28.0,50750.0,4.0,179.0,275.0,283.0,53.0,0.97,75.0,10.0,871650.0,3373
183,10X,Brimstone (si),214.0,7.0,25.62,67.81,6.56,7.0,1.0,13.0,20803.0,2.0,82.0,110.0,106.0,29.0,1.04,32.0,11.0,366200.0,2908
184,10X,HolyMolly (ex),196.0,26.0,25.97,66.25,7.77,26.0,4.0,28.0,65261.0,9.0,274.0,351.0,392.0,112.0,0.9,85.0,40.0,1318700.0,2908
185,TENNN,ZETA DIVISION,214.0,63.0,24.68,69.22,6.09,63.0,13.0,73.0,182942.0,28.0,773.0,937.0,951.0,332.0,0.99,226.0,96.0,3347150.0,519
186,neptune,Rise (ex),213.0,12.0,22.41,68.0,9.58,12.0,3.0,14.0,35720.0,4.0,145.0,177.0,194.0,78.0,0.91,44.0,7.0,668600.0,2091
187,Shun,No Namers (ex),213.0,5.0,23.47,71.36,5.16,5.0,2.0,24.0,13867.0,4.0,50.0,76.0,69.0,33.0,1.1,19.0,6.0,228100.0,6616
188,wippie,Version1 (Inactive) (ex),213.0,21.0,20.91,74.26,4.81,21.0,3.0,53.0,63327.0,9.0,243.0,331.0,291.0,111.0,1.14,88.0,18.0,1084450.0,7025
189,yoman,Next eSports (ex),213.0,4.0,18.07,76.27,5.64,4.0,1.0,12.0,10849.0,3.0,32.0,60.0,59.0,10.0,1.02,18.0,2.0,193500.0,22841
190,Victor,OpTic Gaming (ex),213.0,111.0,23.32,69.81,6.86,111.0,27.0,123.0,324824.0,37.0,1397.0,1685.0,1678.0,668.0,1.0,419.0,106.0,6060300.0,3211
191,Sylvan,World Game Star,212.0,59.0,28.57,65.79,5.62,59.0,26.0,140.0,165435.0,23.0,757.0,893.0,797.0,366.0,1.12,235.0,83.0,2815750.0,3522
192,DEATHMAKER,Velocity Gaming,212.0,6.0,34.55,63.41,2.03,6.0,0.0,13.0,18424.0,2.0,85.0,94.0,100.0,19.0,0.94,25.0,4.0,322700.0,342
193,david,PAMPAS (ex),212.0,11.0,22.55,73.93,3.51,11.0,1.0,10.0,31400.0,3.0,122.0,156.0,181.0,44.0,0.86,37.0,5.0,568100.0,5709
194,mada,Luminosity Gaming (ex),212.0,33.0,20.86,71.94,7.19,33.0,6.0,37.0,102361.0,19.0,406.0,519.0,559.0,201.0,0.93,145.0,21.0,1943050.0,1801
195,mada,Shopify Rebellion,184.0,4.0,27.04,67.21,5.73,4.0,0.0,5.0,13337.0,2.0,66.0,63.0,89.0,27.0,0.71,15.0,2.0,316200.0,1801
196,rubkkoide,PAMPAS (ex),212.0,11.0,26.63,62.29,11.06,11.0,2.0,20.0,30756.0,7.0,130.0,162.0,160.0,94.0,1.01,44.0,19.0,549550.0,4601
197,skuba,Knights (ex),212.0,17.0,31.79,63.87,4.33,17.0,5.0,53.0,48482.0,5.0,235.0,257.0,248.0,97.0,1.04,64.0,27.0,860500.0,3831
198,cauanzin,Ninjas in Pyjamas (ex),211.0,66.0,21.77,70.27,7.95,66.0,24.0,156.0,195614.0,26.0,764.0,1010.0,975.0,501.0,1.04,257.0,122.0,3609500.0,16804
199,Saadhak,LOUD,211.0,67.0,20.66,68.68,10.65,67.0,8.0,68.0,184403.0,24.0,739.0,973.0,913.0,574.0,1.07,251.0,151.0,3475050.0,2895
200,fl1pzjder,BOOM Esports (ex),211.0,45.0,28.39,65.86,5.73,45.0,20.0,67.0,132863.0,23.0,589.0,711.0,670.0,220.0,1.06,176.0,76.0,2498350.0,217
201,RND,Los Grandes (ex),211.0,19.0,22.25,72.49,5.24,19.0,3.0,26.0,51295.0,7.0,140.0,302.0,298.0,57.0,1.01,77.0,11.0,987800.0,669
202,SUTHER,9z Team (ex),211.0,32.0,19.47,74.83,5.69,32.0,10.0,70.0,96030.0,12.0,349.0,457.0,484.0,182.0,0.94,116.0,19.0,1726050.0,855
203,feqew,LDN UTD (ex),210.0,12.0,24.21,68.6,7.17,12.0,0.0,22.0,32413.0,2.0,108.0,174.0,188.0,38.0,0.93,41.0,7.0,590200.0,1894
204,feqew,OG LDN UTD (ex),206.0,21.0,23.54,70.04,6.41,21.0,7.0,39.0,62245.0,9.0,202.0,330.0,358.0,75.0,0.92,82.0,10.0,1142100.0,1894
205,Harry,HolyMolly,210.0,26.0,28.25,66.93,4.81,26.0,14.0,78.0,73122.0,8.0,317.0,372.0,353.0,97.0,1.05,95.0,22.0,1260050.0,31679
206,Harry,Brimstone (si),190.0,7.0,30.1,65.59,4.3,7.0,4.0,15.0,19204.0,2.0,84.0,99.0,95.0,32.0,1.04,24.0,4.0,353000.0,31679
207,Dobsha,E-Xolos LAZER (ex),210.0,7.0,25.56,70.55,3.88,7.0,1.0,12.0,20636.0,3.0,79.0,110.0,104.0,15.0,1.06,30.0,2.0,388050.0,1500
208,Will,100 Thieves (ex),210.0,42.0,17.93,77.05,5.0,42.0,13.0,68.0,122206.0,18.0,376.0,662.0,657.0,179.0,1.01,173.0,11.0,2313400.0,2354
209,popogachi,Crazy Raccoon,210.0,40.0,24.73,66.83,8.42,40.0,12.0,96.0,118581.0,20.0,449.0,576.0,513.0,309.0,1.12,147.0,17.0,2017400.0,1231
210,Marved,OpTic Gaming,210.0,111.0,29.95,63.44,6.59,111.0,50.0,209.0,318638.0,41.0,1431.0,1728.0,1607.0,780.0,1.08,431.0,143.0,6018150.0,398
211,Subroza,TSM (ex),209.0,10.0,29.23,63.34,7.41,10.0,1.0,30.0,30829.0,2.0,138.0,162.0,173.0,66.0,0.94,44.0,9.0,617050.0,2479
212,SugarZ3ro,ZETA DIVISION,209.0,63.0,28.48,65.36,6.15,63.0,36.0,129.0,176498.0,27.0,815.0,961.0,845.0,456.0,1.14,235.0,42.0,3082500.0,2232
213,MONSTEERR,Acend (ex),209.0,24.0,26.68,68.43,4.87,24.0,11.0,60.0,70975.0,8.0,301.0,370.0,346.0,109.0,1.07,99.0,24.0,1233300.0,1268
214,Nozwerr,FURIA (ex),209.0,49.0,21.27,71.93,6.79,49.0,26.0,141.0,152179.0,27.0,529.0,778.0,675.0,307.0,1.15,189.0,114.0,2628850.0,2752
215,kellyS,Rex Regum Qeon (ex),209.0,8.0,15.06,81.44,3.49,8.0,1.0,7.0,22355.0,1.0,69.0,113.0,140.0,44.0,0.81,27.0,2.0,469900.0,3042
216,JitboyS,FW Esports (ex),208.0,5.0,32.78,65.56,1.65,5.0,1.0,25.0,14643.0,2.0,79.0,76.0,76.0,23.0,1.0,17.0,7.0,242200.0,13610
217,Teerapong,FW Esports,208.0,5.0,23.6,70.0,6.4,5.0,1.0,11.0,14544.0,1.0,59.0,73.0,78.0,30.0,0.94,21.0,5.0,274600.0,21620
218,Exy,DAMWON Gaming,208.0,58.0,35.33,60.47,4.18,58.0,18.0,132.0,163047.0,12.0,811.0,883.0,764.0,283.0,1.16,217.0,99.0,2848150.0,2240
219,Apinya,FW Esports (ex),208.0,5.0,26.43,68.28,5.28,5.0,2.0,8.0,14412.0,1.0,60.0,71.0,81.0,34.0,0.88,16.0,1.0,269950.0,16124
220,GangPin,Sengoku Gaming (ex),208.0,7.0,30.98,65.49,3.52,7.0,4.0,9.0,16486.0,2.0,79.0,89.0,82.0,31.0,1.09,21.0,2.0,306900.0,15602
221,k1Ng,On Sla2ers (ex),208.0,55.0,29.65,66.48,3.86,49.0,19.0,83.0,130121.0,24.0,645.0,703.0,577.0,181.0,1.22,165.0,38.0,2268350.0,2151
222,EndU,Team GP,208.0,6.0,27.69,66.76,5.53,6.0,5.0,15.0,17786.0,10.0,95.0,83.0,83.0,22.0,1.0,18.0,7.0,296900.0,12284
223,REV1,Pentagon,208.0,5.0,17.21,74.72,8.05,5.0,0.0,7.0,13434.0,1.0,47.0,75.0,90.0,14.0,0.83,15.0,1.0,296950.0,29107
224,noxxy,Alter Ego (si),207.0,22.0,23.69,72.23,4.07,22.0,7.0,37.0,62715.0,8.0,227.0,347.0,347.0,83.0,1.0,93.0,24.0,1235950.0,25260
225,bang,100 Thieves,207.0,50.0,36.29,60.27,3.42,50.0,20.0,73.0,145260.0,18.0,784.0,791.0,752.0,368.0,1.05,200.0,78.0,2658100.0,1012
226,BORKUM,Team Secret,207.0,27.0,21.31,69.78,8.9,27.0,12.0,49.0,74077.0,7.0,292.0,391.0,369.0,174.0,1.06,102.0,30.0,1311000.0,3076
227,Moose,Shopify Rebellion,207.0,4.0,28.57,62.94,8.48,4.0,4.0,20.0,14828.0,3.0,64.0,81.0,68.0,30.0,1.19,16.0,5.0,286600.0,3345
228,Moose,Luminosity Gaming (ex),190.0,33.0,24.96,66.97,8.05,33.0,13.0,108.0,91926.0,18.0,403.0,476.0,507.0,180.0,0.94,109.0,42.0,1861800.0,3345
229,THEE,FULL SENSE,207.0,11.0,28.72,68.97,2.3,11.0,1.0,27.0,31537.0,1.0,137.0,178.0,161.0,37.0,1.11,49.0,12.0,592300.0,2667
230,matheuzin,TBK Esports,207.0,38.0,21.65,71.32,7.01,38.0,18.0,110.0,112231.0,19.0,457.0,598.0,557.0,220.0,1.07,137.0,45.0,2050750.0,2457
231,tex,NRG Esports (ex),207.0,39.0,33.71,61.37,4.9,39.0,9.0,67.0,112403.0,12.0,440.0,607.0,628.0,152.0,0.97,135.0,15.0,2088450.0,1763
232,eeiu,NRG Esports (ex),207.0,39.0,26.82,67.04,6.13,39.0,19.0,113.0,116633.0,31.0,455.0,604.0,567.0,257.0,1.07,150.0,29.0,2165100.0,1597
233,DDcream,Pentagon,207.0,5.0,23.6,70.81,5.57,5.0,2.0,20.0,14666.0,3.0,55.0,75.0,77.0,23.0,0.97,17.0,9.0,281300.0,6599
234,NakJi,Maru Gaming (ex),207.0,58.0,22.43,70.52,7.03,58.0,14.0,163.0,161630.0,23.0,631.0,852.0,806.0,268.0,1.06,210.0,51.0,2877450.0,4229
235,mixwell,G2 Esports (Inactive) (ex),207.0,52.0,21.46,72.35,6.18,52.0,20.0,86.0,150431.0,19.0,462.0,817.0,804.0,222.0,1.02,202.0,40.0,2672600.0,2940
236,NagZ,KRÜ Esports,206.0,73.0,22.74,69.28,7.96,73.0,31.0,157.0,201576.0,33.0,648.0,1116.0,981.0,216.0,1.14,277.0,35.0,3483000.0,2532
237,YESicaN,Fancy United Esports,206.0,17.0,28.51,63.7,7.77,17.0,6.0,36.0,49530.0,8.0,231.0,260.0,270.0,105.0,0.96,58.0,21.0,939500.0,1836
238,Killer0714,DetonatioN Gaming White,206.0,4.0,27.32,63.37,9.3,4.0,2.0,3.0,10246.0,1.0,47.0,54.0,47.0,28.0,1.15,13.0,5.0,186000.0,12244
239,SicK,Sentinels (ex),205.0,24.0,22.9,66.07,11.02,24.0,9.0,45.0,69849.0,9.0,295.0,376.0,376.0,151.0,1.0,98.0,42.0,1323000.0,1614
240,f1cio,Fancy United Esports,205.0,13.0,24.06,69.58,6.34,13.0,3.0,21.0,36142.0,5.0,129.0,206.0,214.0,35.0,0.96,58.0,7.0,727200.0,3691
241,AlKawai,Insomnia (ex),205.0,3.0,16.85,70.78,12.35,3.0,3.0,7.0,7633.0,1.0,30.0,36.0,42.0,33.0,0.86,7.0,6.0,132350.0,15552
242,GodDead,On Sla2ers,204.0,55.0,21.56,70.53,7.89,49.0,9.0,68.0,124047.0,15.0,470.0,653.0,681.0,309.0,0.96,164.0,120.0,2467900.0,2904
243,XXiF,Knights (ex),204.0,17.0,22.29,72.22,5.47,17.0,3.0,36.0,45316.0,12.0,179.0,245.0,256.0,118.0,0.96,59.0,25.0,884800.0,835
244,Wavy,CNJ Esports,204.0,24.0,21.09,68.78,10.11,24.0,2.0,41.0,68155.0,10.0,265.0,351.0,370.0,201.0,0.95,84.0,52.0,1344000.0,22275
245,musashi,BIG (ex),204.0,12.0,28.0,66.27,5.71,12.0,4.0,36.0,33771.0,2.0,142.0,181.0,183.0,42.0,0.99,46.0,9.0,621400.0,1828
246,supamen,FaZe Clan,204.0,37.0,32.36,63.32,4.3,37.0,20.0,94.0,113601.0,24.0,556.0,600.0,551.0,288.0,1.09,154.0,106.0,2046250.0,1994
247,supamen,Rise (ex),178.0,12.0,30.21,65.4,4.37,12.0,3.0,33.0,29536.0,4.0,152.0,150.0,188.0,87.0,0.8,37.0,23.0,638000.0,1994
248,rDeeW,ORDER (ex),204.0,16.0,24.21,69.95,5.82,16.0,9.0,49.0,40172.0,3.0,162.0,224.0,199.0,100.0,1.13,52.0,15.0,709800.0,2271
249,rDeeW,Bonkers(OCE) (ex),194.0,8.0,20.27,72.72,6.99,8.0,4.0,22.0,21056.0,4.0,58.0,127.0,117.0,24.0,1.09,29.0,2.0,455500.0,2271
250,Shao,FunPlus Phoenix (ex),204.0,95.0,29.48,65.33,5.17,95.0,56.0,244.0,277067.0,57.0,1224.0,1451.0,1257.0,694.0,1.15,359.0,300.0,4895550.0,2359
251,XiSTOU,SuperMassive (ex),204.0,11.0,27.76,68.61,3.62,11.0,3.0,33.0,33874.0,5.0,176.0,166.0,175.0,50.0,0.95,44.0,2.0,619200.0,2969
252,adverso,Leviatán (ex),203.0,71.0,25.74,68.43,5.82,71.0,19.0,97.0,201170.0,39.0,787.0,1060.0,988.0,459.0,1.07,264.0,148.0,3857400.0,3531
253,Eeyore,Persija Esports,203.0,16.0,24.29,71.46,4.24,16.0,2.0,24.0,48149.0,6.0,189.0,263.0,271.0,62.0,0.97,68.0,5.0,925800.0,3495
254,Vibhor,Velocity Gaming (ex),203.0,6.0,27.0,67.33,5.66,6.0,5.0,11.0,16999.0,4.0,81.0,92.0,90.0,41.0,1.02,25.0,9.0,315500.0,226
255,skillZ,Global Esports,203.0,5.0,25.86,70.27,3.86,5.0,1.0,7.0,15539.0,1.0,67.0,76.0,83.0,28.0,0.92,19.0,10.0,273450.0,2829
256,SUYGETSU,FunPlus Phoenix (ex),203.0,85.0,32.79,61.39,5.8,85.0,37.0,228.0,245790.0,29.0,1163.0,1327.0,1163.0,424.0,1.14,328.0,90.0,4427900.0,2225
257,Hermes,HolyMolly (ex),203.0,26.0,22.52,70.0,7.47,26.0,7.0,55.0,66898.0,9.0,277.0,360.0,393.0,124.0,0.92,86.0,13.0,1355900.0,15725
258,Hermes,Brimstone (ex),164.0,7.0,18.45,75.27,6.27,7.0,1.0,13.0,15506.0,2.0,50.0,85.0,104.0,36.0,0.82,15.0,7.0,349050.0,15725
259,JessieVash,Team Secret,202.0,27.0,27.57,66.38,6.04,27.0,9.0,52.0,73953.0,10.0,292.0,370.0,375.0,176.0,0.99,88.0,61.0,1345050.0,405
260,Mizu,9z Team,202.0,37.0,39.1,56.14,4.75,37.0,8.0,64.0,97422.0,9.0,436.0,545.0,552.0,131.0,0.99,140.0,26.0,1835000.0,20357
261,Muj,BBL Esports (ex),202.0,2.0,26.15,70.76,3.07,2.0,2.0,4.0,5444.0,2.0,17.0,29.0,32.0,10.0,0.91,6.0,1.0,101500.0,4798
262,Lawrence,GoNGo Prince,202.0,7.0,25.73,67.83,6.43,7.0,4.0,9.0,20904.0,3.0,88.0,107.0,129.0,41.0,0.83,30.0,10.0,448950.0,2753
263,Kongared,Made in Thailand,202.0,28.0,25.59,65.45,8.94,28.0,5.0,50.0,82416.0,13.0,346.0,445.0,468.0,171.0,0.95,105.0,39.0,1652950.0,2071
264,D1E,Meta Gaming (ex),202.0,10.0,30.85,65.15,3.98,10.0,2.0,16.0,26570.0,6.0,116.0,148.0,164.0,42.0,0.9,47.0,6.0,538250.0,1579
265,D1E,Movistar Optix,193.0,14.0,22.83,71.96,5.2,14.0,3.0,36.0,40772.0,8.0,158.0,207.0,226.0,64.0,0.92,52.0,9.0,781750.0,1579
266,foxz,XERXIA Esports (ex),202.0,61.0,23.25,68.66,8.08,61.0,23.0,142.0,173852.0,25.0,653.0,904.0,894.0,353.0,1.01,218.0,76.0,3273300.0,6890
267,fenNy,SunXet Club,202.0,11.0,27.11,67.31,5.56,11.0,4.0,24.0,31026.0,2.0,112.0,170.0,178.0,22.0,0.96,47.0,3.0,596750.0,3719
268,LucasVade,Meta Gaming (ex),202.0,10.0,21.81,70.5,7.67,10.0,10.0,36.0,27634.0,6.0,108.0,145.0,155.0,48.0,0.94,35.0,9.0,508550.0,4629
269,RyZzi,Desperado (ex),201.0,21.0,25.1,68.51,6.38,21.0,9.0,34.0,58692.0,7.0,240.0,305.0,310.0,107.0,0.98,74.0,20.0,1079400.0,227
270,corey,TSM (ex),201.0,10.0,29.12,67.71,3.15,10.0,6.0,30.0,30389.0,4.0,120.0,165.0,153.0,28.0,1.08,42.0,4.0,553250.0,1217
271,Anker,Jadeite (ex),201.0,12.0,26.2,67.33,6.45,12.0,2.0,26.0,32954.0,3.0,130.0,181.0,177.0,67.0,1.02,40.0,24.0,608250.0,147
272,Derrek,Rise (ex),201.0,12.0,33.02,60.96,6.0,12.0,6.0,45.0,34613.0,6.0,143.0,175.0,170.0,68.0,1.03,43.0,22.0,614700.0,269
273,Derrek,100 Thieves,188.0,42.0,33.49,61.71,4.78,42.0,25.0,121.0,114400.0,36.0,539.0,610.0,601.0,239.0,1.01,149.0,65.0,2304750.0,269
274,Sacy,LOUD (ex),201.0,67.0,26.86,67.4,5.72,67.0,27.0,156.0,186538.0,41.0,751.0,961.0,820.0,530.0,1.17,223.0,154.0,3369250.0,2294
275,zeddy,Natus Vincere (ex),201.0,22.0,23.3,71.19,5.5,22.0,4.0,39.0,63496.0,10.0,254.0,334.0,366.0,166.0,0.91,80.0,41.0,1301250.0,491
276,rite2ace,Velocity Gaming (ex),201.0,6.0,18.61,75.18,6.2,6.0,1.0,22.0,17430.0,2.0,51.0,84.0,92.0,46.0,0.91,17.0,10.0,321800.0,1913
277,WIX,Maru Gaming (ex),201.0,58.0,29.85,62.02,8.11,58.0,23.0,130.0,156471.0,27.0,673.0,833.0,816.0,307.0,1.02,203.0,53.0,2880750.0,6719
278,HaReeee,REJECT (ex),201.0,10.0,26.04,66.92,7.03,10.0,3.0,11.0,22787.0,5.0,100.0,139.0,115.0,61.0,1.21,28.0,20.0,443500.0,802
279,rion,Crazy Raccoon,201.0,14.0,32.01,65.23,2.75,14.0,0.0,25.0,38745.0,1.0,186.0,213.0,206.0,74.0,1.03,48.0,8.0,744650.0,815
280,vaiZ,Leviatán (ex),200.0,35.0,22.9,68.31,8.78,35.0,8.0,58.0,93733.0,12.0,412.0,494.0,466.0,208.0,1.06,122.0,24.0,1829550.0,3555
281,Moves,Team T5 (ex),200.0,22.0,27.66,66.22,6.11,22.0,10.0,58.0,60707.0,7.0,249.0,301.0,326.0,111.0,0.92,79.0,38.0,1131400.0,6595
282,Moves,Maru Gaming (ex),185.0,32.0,24.13,68.34,7.51,32.0,7.0,56.0,80395.0,15.0,321.0,427.0,471.0,215.0,0.91,94.0,50.0,1610100.0,6595
283,mazin,FURIA,200.0,49.0,27.89,67.88,4.21,49.0,15.0,81.0,140856.0,17.0,602.0,733.0,770.0,278.0,0.95,179.0,35.0,2829350.0,6039
284,zepher,REJECT (ex),200.0,31.0,21.95,72.13,5.91,31.0,14.0,60.0,79121.0,12.0,297.0,438.0,425.0,118.0,1.03,107.0,25.0,1524200.0,852
285,gaabxx,Sharks Esports (ex),200.0,9.0,19.33,70.99,9.66,9.0,0.0,23.0,25344.0,1.0,82.0,129.0,146.0,28.0,0.88,32.0,2.0,428800.0,2833
286,blaZek1ng,BOOM Esports,200.0,45.0,27.95,65.41,6.62,45.0,18.0,120.0,125390.0,19.0,553.0,656.0,648.0,322.0,1.01,159.0,54.0,2387850.0,1919
287,BerserX,BOOM Esports,200.0,45.0,21.3,72.21,6.47,45.0,13.0,56.0,120982.0,24.0,444.0,669.0,694.0,171.0,0.96,167.0,11.0,2389850.0,3363
288,Torrify,FUSION (ex),200.0,12.0,15.51,79.19,5.29,12.0,5.0,20.0,31720.0,7.0,85.0,168.0,197.0,32.0,0.85,44.0,8.0,625750.0,2471
289,C1nder,SCARZ (ex),200.0,5.0,22.87,74.53,2.58,5.0,1.0,16.0,14360.0,4.0,62.0,72.0,83.0,18.0,0.87,15.0,10.0,285300.0,846
290,NicoMachine,Meta Gaming (ex),200.0,10.0,27.38,62.85,9.76,10.0,2.0,25.0,27137.0,1.0,115.0,140.0,161.0,62.0,0.87,39.0,5.0,538500.0,4618
291,NANZIN,INGAMING Esports (ex),199.0,9.0,33.85,58.62,7.52,9.0,3.0,25.0,27340.0,1.0,108.0,131.0,146.0,57.0,0.9,31.0,13.0,514950.0,242
292,NANZIN,Stars Horizon,150.0,8.0,33.64,61.75,4.6,8.0,2.0,30.0,16126.0,2.0,73.0,80.0,113.0,48.0,0.71,17.0,13.0,393150.0,242
293,Brave,SuperMassive (ex),199.0,11.0,31.49,66.05,2.45,11.0,2.0,19.0,30822.0,3.0,154.0,166.0,193.0,41.0,0.86,43.0,33.0,664100.0,3725
