"Ign","Team","Kills","Deaths","Assists","Kd"
"Puleule","9z Team",503,534,239,"0.94"
"Reita","Crest Gaming ZST (si)",16,17,11,"0.94"
"DEATHMAKER","Velocity Gaming",94,100,19,"0.94"
"bazz","FAV gaming",312,332,162,"0.94"
"Moose","Luminosity Gaming (ex)",476,507,180,"0.94"
"Subroza","TSM (ex)",162,173,66,"0.94"
"sushiboys","XERXIA Esports (ex)",850,908,272,"0.94"
"Teerapong","FW Esports",73,78,30,"0.94"
"LucasVade","Meta Gaming (ex)",145,155,48,"0.94"
"lenne","Bleed Esports (ex)",516,552,276,"0.93"
"ANDROID","NRG Esports (ex)",181,194,73,"0.93"
"shion","Liberty (ex)",292,313,124,"0.93"
"BlackWiz","NORTHEPTION",538,577,238,"0.93"
"glym","Liberty (ex)",123,132,61,"0.93"
"Secret","Desperado (ex)",311,334,134,"0.93"
"skrawl","Bonkers(OCE) (ex)",108,116,60,"0.93"
"SID","VPZ",54,58,16,"0.93"
"cuda","GyoGun (ex)",27,29,5,"0.93"
"UdoTan","GoNGo Prince (ex)",121,130,24,"0.93"
"adrnking","Alter Ego",306,329,161,"0.93"
"keloqz","G2 Esports (Inactive) (ex)",78,84,10,"0.93"
"mada","Luminosity Gaming (ex)",519,559,201,"0.93"
"GOLD","Desperado (ex)",207,223,92,"0.93"
"ryotzz","TBK Esports",527,568,360,"0.93"
"ShahZaM","Sentinels (ex)",549,592,247,"0.93"
"stellar","100 Thieves",561,605,286,"0.93"
"Derialy","FENNEL (ex)",89,96,31,"0.93"
"Envy","FENNEL (ex)",89,96,30,"0.93"
"feqew","LDN UTD (ex)",174,188,38,"0.93"
"mnz","IXA",62,67,27,"0.93"
"Jonn","Ninjas in Pyjamas (ex)",966,1044,389,"0.93"
"artzin","Stars Horizon (ex)",122,132,25,"0.92"
"prince","Los Grandes (ex)",256,277,101,"0.92"
"Minimise","Bonkers(OCE) (ex)",121,131,49,"0.92"
"Moves","Team T5 (ex)",301,326,111,"0.92"
"feqew","OG LDN UTD (ex)",330,358,75,"0.92"
"W1nner","Griffin E-Sports",212,230,91,"0.92"
"Sushi","EBRO Gaming (ex)",149,162,38,"0.92"
"Pooky","CNJ Esports (ex)",79,86,15,"0.92"
"Redgar","M3 Champions",657,716,288,"0.92"
"Derialy","NORTHEPTION",356,388,114,"0.92"
"Apoth","Evil Geniuses",339,370,183,"0.92"
"Hermes","HolyMolly (ex)",360,393,124,"0.92"
"D1E","Movistar Optix",207,226,64,"0.92"
"skillZ","Global Esports",76,83,28,"0.92"
"dephh","XSET (ex)",889,972,415,"0.91"
"HANLING","9z Team (ex)",438,479,181,"0.91"
"BabyJ","100 Thieves (ex)",64,70,16,"0.91"
"Pay","Veronica7 (ex)",74,81,20,"0.91"
"aimDLL","BBL Esports",359,393,166,"0.91"
"rite2ace","Velocity Gaming (ex)",84,92,46,"0.91"
"Jeong Hi","DAMWON Gaming (ex)",325,356,187,"0.91"
"zeddy","Natus Vincere (ex)",334,366,166,"0.91"
