"Ign","Team","Plants"
"M4sh","EVA:e (ex)","8"
"MatiS","EBRO Gaming (ex)","7"
"YaBoiDre","Evil Geniuses (ex)","7"
"Monyet","Onic Esports (ex)","7"
"f1cio","Fancy United Esports","7"
"Amaterasu","Velocity Gaming","7"
"GodDead","On Sla2ers (si)","7"
"Ask","Reignite","7"
"BRNWOWZK1","INGAMING Esports (ex)","7"
"jcStani","100 Thieves (ex)","7"
"Has1ra14","CNJ Esports","7"
"Nizzy","Fancy United Esports","7"
"CLZ","FENNEL","7"
"xeta","Cloud9 (si)","7"
"EndU","Team GP","7"
"NAOS JA","South Built Esports (ex)","7"
"JitboyS","FW Esports (ex)","7"
"alyaL","CERBERUS Esports (ex)","7"
"Hermes","Brimstone (ex)","7"
"Wenty","GoNGo Prince (ex)","7"
"neptune","Rise (ex)","7"
"Junseo","Next eSports","7"
"SoGaTe","Team GP (ex)","7"
"zunba","On Sla2ers (si)","7"
"feqew","LDN UTD (ex)","7"
"rochet","SunXet Club (ex)","7"
"jotinha","SunXet Club (ex)","6"
"D1E","Meta Gaming (ex)","6"
"Knight","Pentagon","6"
"KILLDREAMST","Sharks Esports (ex)","6"
"Daveeys","E-Xolos LAZER (ex)","6"
"Halbae","World Game Star (ex)","6"
"40pingSterry","SETOUCHI ENLIFE","6"
"K1llgrave","DeToNator (ex)","6"
"hypathor","Oblivion Force","6"
"TS","On Sla2ers (si)","6"
"Sk9Na","Team GP (ex)","6"
"Twinte","looking for a name (ex)","6"
"Estrella","Desperado (ex)","6"
"Tuli","Movistar Optix (ex)","6"
"Jan","Next eSports","6"
"jEEE","NAOS Esports","6"
"invy","Oasis Gaming (ex)","6"
"AlKawai","Insomnia (ex)","6"
"micr0","South Built Esports (ex)","6"
"Tempz","No Namers (ex)","6"
"Glovee","SuperMassive (ex)","6"
"KuuKai","Crest Gaming ZST (ex)","6"
"Xander","FUSION","6"
"shura","Focus e-Sports","6"
"Shun","No Namers (ex)","6"
"moco","TRIDENT (ex)","6"
"Sacchi","SchwarzerLand","6"
"Haodong","EDward Gaming","6"
"TenzouEz","DeToNator (ex)","6"
"Danielesflo","FUSION (ex)","6"
"RoaN","SunXet Club (ex)","6"
"Meimoo","Rebellion Arts","6"
"pouoxo","TRIDENT (ex)","6"
"Myself","AWS","6"
"Eeyore","Persija Esports","5"
"Teerapong","FW Esports","5"
"k1Ng","On Sla2ers (si)","5"
"JohnOlsen","FULL SENSE","5"
"Kadoom","Made in Thailand","5"
"david","PAMPAS (ex)","5"
"Flash","Rex Regum Qeon","5"
"arm1e","EVA:e (ex)","5"
"rez1v","Storks Phalanx","5"
"Rico","EVA:e (ex)","5"
"Solution","FUSION (ex)","5"
"TiGG","Shopify Rebellion (ex)","5"
"Kant","VPZ (ex)","5"
"wait","KRÜ Esports (ex)","5"
"frz","MIBR","5"
"marin","SCARZ (ex)","5"
"Killer0714","DetonatioN Gaming White","5"
"NicoMachine","Meta Gaming (ex)","5"
"pippi","Rebellion Arts","5"
"Moose","Shopify Rebellion","5"
"Smoggy","EDward Gaming","5"
"SamuraiDeeper","REJECT (si)","5"
"Yun","Pentagon","5"
"Hate","Jadeite (ex)","5"
"JinboongE","Brimstone (ex)","5"
"Haxball","VPZ","5"
"iNTRO","DAMWON Gaming (ex)","4"
"Nexi","Rex Regum Qeon (ex)","4"
"nephh","Gaimin Gladiators (ex)","4"
"UdoTan","GoNGo Prince (ex)","4"
"Foxy9","Reignite (ex)","4"
"Lok1","CERBERUS Esports (ex)","4"
"Redneval","CERBERUS Esports (ex)","4"
"Chronicle","Gambit Esports (ex)","4"
"kvzx","NAOS Esports","4"
"AcMe","Veronica7","4"
"DEATHMAKER","Velocity Gaming","4"
"Jemkin","BLUE BEES.ESP (ex)","4"
"Purp0","Acend (si)","4"
"Darker","FUSION","4"
"Shiroe","Mariner","4"
"Harry","Brimstone (si)","4"
"Nozz","Bonkers(OCE) (ex)","4"
"Blas","NAOS Esports","4"
"ec1s","100 Thieves (ex)","4"
"Paint","Insomnia (ex)","4"
"corey","TSM (ex)","4"
"ClarK","World Game Star (ex)","4"
"kurtesy","Oasis Gaming","4"
"Bazzi","On Sla2ers (si)","4"
"penny","Version1 (Inactive) (ex)","4"
"Veroneze","Team Vikings (ex)","4"
"Xiaonuo","DeToNator","4"
"Vici","Sengoku Gaming","4"
"Wild0reoo","Oasis Gaming","4"
"fenNy","SunXet Club","3"
"HellFull","FUSION (ex)","3"
"ringring","CNJ Esports","3"
"B1ngSu","Veronica7","3"
"Neal X","Insomnia (ex)","3"
"something","Sengoku Gaming","3"
"Melofovia","DetonatioN Gaming White (ex)","3"
"munghoon","VPZ","3"
"GOLD","Desperado (si)","3"
"ban","Knights (ex)","3"
"Namikaze","SETOUCHI ENLIFE (ex)","3"
"pollo","Team Vikings (ex)","3"
"AzeL","looking for a name (ex)","3"
"Zerost","Sengoku Gaming","3"
"CHIMEI","Oblivion Force","3"
"Ijin","Storks Phalanx (ex)","3"
"Pooky","CNJ Esports (ex)","3"
"Dualing","Storks Phalanx (ex)","3"
"Creative","GoNGo Prince","3"
"Gabriel","AWS","3"
"thiefy","Sengoku Gaming (ex)","3"
"JUGi","FOKUS","3"
"Pa1n","Focus e-Sports","3"
"koalanoob","Ghost Gaming (ex)","3"
"ZmjjKK","EDward Gaming","3"
"YAYA","ややーず","3"
"EROC","EVA:e (ex)","3"
"Dani","Sentinels (si)","3"
"Izzy","SuperMassive","3"
"sachi","Rebellion Arts (ex)","3"
"sickLy","FUSION","3"
"kobra","REJECT (si)","3"
"mada","Shopify Rebellion","2"
"gaabxx","Sharks Esports (ex)","2"
"kobra","Sengoku Gaming (ex)","2"
"YaBoiLewis","FOKUS","2"
"Envy","FENNEL (ex)","2"
"FifTy","DeToNator","2"
"Swee","IXA","2"
"Dobsha","E-Xolos LAZER (ex)","2"
"JREXXX","Insomnia (ex)","2"
"XiSTOU","SuperMassive (ex)","2"
"pdr","Stars Horizon (ex)","2"
