"Ign","Team","Assists"
"Redneval","CERBERUS Esports (ex)","20"
"Pay","Veronica7 (ex)","20"
"Xiaonuo","DeToNator","20"
"Estrella","Desperado (ex)","20"
"Jan","Next eSports","20"
"Jemkin","Crest Gaming ZST (ex)","20"
"Yun","Pentagon","19"
"RELAXING","TRIDENT (ex)","19"
"DippER","VPZ (ex)","19"
"DEATHMAKER","Velocity Gaming","19"
"Machao","DetonatioN Gaming White (ex)","19"
"Junseo","Next eSports","19"
"sakurai","Hexad (ex)","18"
"Purp0","Acend (si)","18"
"Alex","Next eSports (ex)","18"
"K1llgrave","DeToNator (ex)","18"
"Lightningfast","Global Esports","18"
"C1nder","SCARZ (ex)","18"
"Solution","FUSION (ex)","18"
"Lumo","Insomnia (ex)","17"
"hypathor","Oblivion Force","17"
"hellff","Velocity Gaming","17"
"Ijin","Storks Phalanx (ex)","17"
"SSeeS","DetonatioN Gaming White (ex)","17"
"Hate","Jadeite (ex)","17"
"SID","VPZ","16"
"BabyJ","100 Thieves (ex)","16"
"munghoon","VPZ","16"
"ZmjjKK","EDward Gaming","16"
"FREY","Gaimin Gladiators (ex)","16"
"Marmelo","Jadeite","15"
"tinggg2k5","CERBERUS Esports","15"
"Pooky","CNJ Esports (ex)","15"
"NoMan","Oblivion Force (ex)","15"
"B1ngSu","Veronica7","15"
"柳ヶ瀬鈴乃","IXA (ex)","15"
"Swee","IXA","15"
"Dobsha","E-Xolos LAZER (ex)","15"
"Ask","Reignite","15"
"kobra","Sengoku Gaming (ex)","15"
"Zerost","Sengoku Gaming","15"
"Tuli","9z Team (si)","15"
"Wild0reoo","Oasis Gaming","14"
"Leazo","9z Team","14"
"Brofeld","Hexad (ex)","14"
"hatty","ややーず (ex)","14"
"REV1","Pentagon","14"
"DxN","No Namers (ex)","14"
"moco","TRIDENT (ex)","13"
"Marky","Oasis Gaming","13"
"Twinte","looking for a name (ex)","13"
"DaeGi","Team GP (ex)","13"
"AzeL","looking for a name (ex)","12"
"invy","Oasis Gaming (ex)","12"
"SungJin","CNJ Esports (ex)","12"
"wait","KRÜ Esports (ex)","12"
"侵略者","ややーず","12"
"Kant","VPZ (ex)","12"
"YAYA","ややーず","12"
"kobra","REJECT (si)","12"
"40pingSterry","SETOUCHI ENLIFE","12"
"killua","FW Esports","12"
"GwangUh","Tartarus (si)","12"
"LEXY","Bleed Esports (si)","11"
"Kiuuuu","Oblivion Force","11"
"Reita","Crest Gaming ZST (si)","11"
"B4nnba","Pentagon","11"
"pouoxo","TRIDENT (ex)","11"
"Ripper","Oasis Gaming","11"
"Haner","K2 eSports (ex)","10"
"Creative","GoNGo Prince","10"
"JREXXX","Insomnia (ex)","10"
"Dani","Sentinels (si)","10"
"Paint","Insomnia (ex)","10"
"keloqz","G2 Esports (Inactive) (ex)","10"
"Muj","BBL Esports (ex)","10"
"bdog","Shopify Rebellion","10"
"FifTy","DeToNator","10"
"Vici","Sengoku Gaming","10"
"arm1e","EVA:e (ex)","10"
"yoman","Next eSports (ex)","10"
"P4F","SchwarzerLand","10"
"Meimoo","Rebellion Arts","10"
"こころん","looking for a name","9"
"pippi","Rebellion Arts","9"
"Rico","EVA:e (ex)","9"
"Toto","GyoGun","9"
"Luna","IXA","9"
"azuma","K2 eSports (ex)","9"
"Neal X","Insomnia (ex)","9"
"Melofovia","DetonatioN Gaming White (ex)","9"
"Siro","looking for a name (ex)","9"
"Shiroe","Mariner","9"
"Suke","SYSTEM e-Sports","8"
"Suggest","DetonatioN Gaming White (ex)","8"
"shura","Focus e-Sports","8"
"Poach","FaZe Clan (ex)","8"
"UmiNtyU","Mariner","8"
"MuuShock","Rebellion Arts","8"
"SoGaTe","Tartarus (si)","8"
"ParkJJong","Tartarus (si)","8"
